,Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh],PV/Import Power (%),Battery Utilization Rate (%),Grid Utilization rate (%)
45,542.01968,0.0,542.01968,0,0,17.834424100781774,0.0,0.0,0.0,0.79975004,0.15,3,1,96
46,361.34645,0.0,361.34645,0,0,17.817545603008043,0.0,0.0,0.0,0.79974448,0.15,3,1,96
47,180.67323,0.0,180.67323,0,0,17.80066710523431,0.0,0.0,0.0,0.79973893,0.15,3,1,96
48,0.0,0.0,0.0,0,0,17.78378860746058,0.0,1.4388794e-11,0.0,0.79973338,0.15,3,1,96
49,1023.8149,0.0,1023.8149,0,0,17.748001132907774,0.0,0.0,0.0,0.79972782,0.15,3,1,96
50,2047.6299,0.0,2047.6299,0,0,17.712213658354973,0.0,0.0,0.0,0.79972227,0.15,3,1,96
51,3071.4448,0.0,3071.4448,0,0,17.67642618380217,0.0,0.0,0.0,0.79971672,0.15,3,1,96
52,4095.2598,0.0,4095.2598,0,0,17.640638709249366,0.0,0.0,0.0,0.79971116,0.15,3,1,96
53,5119.0747,0.0,5119.0747,0,0,17.60485123469656,0.0,0.0,0.0,0.79970561,0.15,3,1,96
54,6142.8897,0.0,6142.8897,0,0,17.56906376014376,0.0,0.0,0.0,0.79970006,0.15,3,1,96
55,7166.7046,0.0,7166.7046,0,0,17.533276285590958,0.0,0.0,0.0,0.7996945,0.15,3,1,96
56,8190.5195,0.0,8190.5195,0,0,17.497488811038153,0.0,0.0,0.0,0.79968895,0.15,3,1,96
57,9214.3345,0.0,9214.3345,0,0,17.461701336485348,0.0,0.0,0.0,0.79968339,0.15,3,1,96
58,10238.149,0.0,10238.149,0,0,17.425913861932546,0.0,0.0,0.0,0.79967784,0.15,3,1,96
59,11261.964,0.0,11261.964,0,0,17.390126387379745,0.0,0.0,0.0,0.79967229,0.15,3,1,96
60,12285.779,0.0,12285.779,0,0,17.35433891282694,0.0,0.0,0.0,0.79966673,0.15,3,1,96
61,11864.208,0.0,11864.208,0,0,17.302559512844052,0.0,0.0,0.0,0.79966118,0.15,3,1,96
62,11442.638,0.0,11442.638,0,0,17.250780112861165,0.0,0.0,0.0,0.79965563,0.15,3,1,96
63,11021.067,0.0,11021.067,0,0,17.19900071287828,0.0,0.0,0.0,0.79965008,0.15,3,1,96
64,10599.496,0.0,10599.496,0,0,17.147221312895393,0.0,0.0,0.0,0.79964452,0.15,3,1,96
65,10177.925,0.0,10177.925,0,0,17.095441912912506,0.0,0.0,0.0,0.79963897,0.15,3,1,96
66,9756.3541,0.0,9756.3542,0,0,17.04366251292962,0.0,0.0,0.0,0.79963342,0.15,3,1,96
67,9334.7833,0.0,9334.7833,0,0,16.991883112946734,0.0,0.0,0.0,0.79962786,0.15,3,1,96
68,8913.2124,0.0,8913.2124,0,0,16.940103712963847,0.0,0.0,0.0,0.79962231,0.15,3,1,96
69,8490.9863,0.0,8491.6416,0,0,16.88832431298096,0.65523931,0.0,0.0,0.79961676,0.15,3,1,96
70,8059.5075,0.0,8070.0707,0,0,16.83654491299807,10.563256,0.0,0.0,0.7996112,0.15,3,1,96
71,7628.5242,0.0,7648.4999,0,0,16.784765513015188,19.97563,0.0,0.0,0.79960565,0.15,3,1,96
72,6347.4542,0.0,7226.929,1,1,16.7329861130323,63.474767,0.0,816.0,0.7996001,0.22,3,1,96
73,8141.6747,0.0,9274.5589,1,1,16.669435347189363,316.88417,0.0,816.0,0.79676121,0.22,3,1,96
74,10229.342,0.0,11322.189,1,1,16.605884581346427,276.84646,0.0,816.0,0.79392235,0.22,3,1,96
75,12092.108,0.0,13369.819,1,1,16.54233381550349,461.71019,0.0,816.0,0.7910835,0.22,3,1,96
76,14227.277,0.0,15417.449,1,1,16.478783049660557,374.1716,0.0,816.0,0.78824467,0.22,3,1,96
77,16229.885,0.0,17465.078,1,1,16.41523228381762,419.19376,0.0,816.0,0.78540587,0.22,3,1,96
78,18284.721,0.0,19512.708,1,1,16.351681517974683,411.98725,0.0,816.0,0.78256708,0.22,3,1,96
79,20422.787,0.0,21560.338,1,1,16.288130752131746,321.55119,0.0,816.0,0.77972831,0.22,3,1,96
80,22302.215,0.0,23607.968,1,1,16.22457998628881,489.7528,0.0,816.0,0.77688956,0.22,3,1,96
81,23007.373,0.0,25655.598,1,1,16.161029220445872,1832.2251,0.0,816.0,0.77405083,0.22,3,1,96
82,25064.661,0.0,27703.228,1,1,16.097478454602935,1822.5669,0.0,816.0,0.77121212,0.22,3,1,96
83,27132.823,0.0,29750.858,1,1,16.03392768876,1802.0347,0.0,816.0,0.76837344,0.22,3,1,96
84,28027.275,0.0,31798.488,1,1,15.970376922917064,2955.2127,0.0,816.0,0.76553477,0.22,3,1,96
85,29362.165,0.0,33243.873,1,1,15.900234839524773,3065.7081,0.0,816.0,0.76269612,0.22,3,1,96
86,30960.124,0.0,34689.259,1,1,15.830092756132482,2913.1353,0.0,816.0,0.75985749,0.22,3,1,96
87,32206.334,0.0,36134.645,1,1,15.759950672740189,3112.3107,0.0,816.0,0.75701888,0.22,3,1,96
88,35704.531,0.0,37580.031,1,1,15.689808589347898,1059.5,0.0,816.0,0.75418029,0.22,3,1,96
89,36396.981,0.0,39025.417,1,1,15.619666505955609,1812.4359,0.0,816.0,0.75134172,0.22,3,1,96
90,35996.701,0.0,40470.802,1,1,15.549524422563316,3658.1015,0.0,816.0,0.74850316,0.22,3,1,96
91,37009.155,0.0,41916.188,1,1,15.479382339171025,4091.0329,0.0,816.0,0.74566463,0.22,3,1,96
92,40516.672,0.0,43361.574,1,1,15.409240255778734,2028.9016,0.0,816.0,0.74282612,0.22,3,1,96
93,41906.54,0.0,44806.96,1,1,15.339098172386445,2084.4195,0.0,816.0,0.73998763,0.22,3,1,96
94,44247.844,0.0,46252.346,1,1,15.26895608899415,1188.5014,0.0,816.0,0.73714916,0.22,3,1,96
95,44272.864,0.0,47697.731,1,1,15.19881400560186,2608.8676,0.0,816.0,0.73431071,0.22,3,1,96
96,47009.142,0.0,49143.117,1,1,15.128671922209568,1317.9756,0.0,816.0,0.73147227,0.22,3,1,96
97,47699.195,0.0,50106.708,1,1,15.057655830506162,1591.5126,0.0,816.0,0.72863386,0.22,3,1,96
98,48236.203,0.0,51070.298,1,1,14.986639738802756,2018.0952,0.0,816.0,0.72579547,0.22,3,1,96
99,49302.454,0.0,52033.889,1,1,14.915623647099352,1915.4344,0.0,816.0,0.72295709,0.22,3,1,96
100,49993.926,0.0,52997.479,1,1,14.844607555395946,2187.5531,0.0,816.0,0.72011874,0.22,3,1,96
101,51322.976,0.0,53961.07,1,1,14.77359146369254,1822.0941,0.0,816.0,0.7172804,0.22,3,1,96
102,52334.992,0.0,54924.66,1,1,14.702575371989134,1773.6679,0.0,816.0,0.71444209,0.22,3,1,96
