,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,28.25,5.0,800.0,6500.0,75000.0,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1.0,1.0,1.0,8.45630035478523,8.692149055161194,2.1856201907714374,9.187154884228496,9.323726287939557,7.567459994682932,2.0,2.0,2.0,0.0,0.1,28.25,5.0,800.0,6500.0,75000.0,1083.3333333333333,6783.333333333333,75283.33333333333,906.6666666666666,6606.666666666667,75106.66666666667
2,2027,1.0,1.0,1.0,76.90020729678817,71.17349267848658,17.723450719961942,14.00871802706742,12.801205636746328,10.289492782964235,15.0,15.0,15.0,0.0,0.1,28.25,5.0,800.0,6500.0,75000.0,2867.1993911719937,8567.199391171995,77067.19939117199,1579.421613394216,7279.421613394216,75779.42161339422
3,2028,2.2973274371951664,1.7625001933381395,1.0,100.0,100.0,53.86853325356451,25.400646621343363,19.24034073699467,18.981556648337985,13.493940610332961,17.588650552875475,31.0,0.0,0.17625001933381396,28.25,5.0,839.5245775608257,6688.747392899726,75000.0,6262.228093612062,12111.450908950963,80422.70351605123,2886.642861166255,8735.865676505156,77047.11828360544
4,2029,5.869384925786466,3.6402178128542473,1.196012463356655,100.0,100.0,100.0,43.51128294782938,26.64393585830565,28.256593473906182,10.733663032256883,17.306656699919426,52.67503636474496,0.0,0.36402178128542473,28.299003115839163,5.9800623167832745,938.909832117219,7113.2273275306525,75511.27961517485,12637.641083412625,18811.95857882606,87210.01086647026,5362.388131980149,11536.705627393585,79934.75791503779
5,2030,11.538812209856316,6.6609780318973835,2.025079299251162,100.0,100.0,100.0,68.84502563030729,39.23838954312178,38.50599024039608,8.233083117415857,14.262169841286685,46.91174317723227,0.0,0.6660978031897384,28.50626982481279,10.12539649625581,1082.964914403018,7736.860227459359,77486.20282965443,21485.64915815702,28139.54447121336,97888.88707340843,8805.783946356672,15459.679259413015,85209.0218616081
6,2031,18.83433951875036,10.352671332934374,3.3482000991259175,100.0,100.0,99.99999999999999,114.52520372808911,62.15338943270481,64.88389078055724,6.743002581723998,12.267365196457266,37.93082738189831,0.0,1.0352671332934376,28.83705002478148,16.74100049562959,1284.090309865736,8563.772060524218,80905.8476191836,34410.72361240594,41690.40536306443,114032.4809217238,13836.87814230763,21116.559892966114,93458.63545162551
7,2032,29.87135268093766,15.916448432719122,5.391866667432111,99.99999999999999,100.0,100.0,172.48389514528023,90.74057787749973,99.22191564462621,6.461039848495463,12.125820707793945,35.79465367082542,0.0,1.5916448432719124,29.347966666858028,26.959333337160555,1570.0600996223552,9735.054650369197,85870.05496079307,53003.42136571423,61168.415916461076,137303.41622688496,21083.32928615131,29248.323836898155,105383.32414732204
8,2033,42.88376849434252,22.81334828071883,7.667028475073853,100.0,100.00000000000001,100.0,228.4666762277438,119.99983915040089,130.17626257333373,5.2933780768345295,9.950314929959392,29.60729841267655,0.0,2.2813348280718833,29.916757118768462,38.335142375369266,1886.9328550975536,11099.651162238188,91064.15766535696,73627.89026901963,82840.60857616026,162805.11507927906,29124.15479464738,38336.87310178802,118301.3796049068
9,2034,58.20444103603921,30.936449101507332,10.17325427021718,100.00000000000001,100.0,100.0,303.8444751205107,159.45105505570143,169.25048506696706,4.518555548659162,8.501298876837993,25.85210130547395,0.0,3.0936449101507333,30.543313567554296,50.8662713510859,2237.574237556598,12610.185328605003,96441.61299881984,96132.5098446003,106505.12093564871,190336.54860586356,37903.66646249848,48276.27755354689,132107.70522376173
