,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1,1,1,5,13,3,6,14,9,2,2,2,0,0.1,28.25,5,800,6500,75000,1085.0,6785.0,75285.0,907.0,6607.0,75107.0
2,2027,1,1,1,40,100,22,8,19,14,15,15,15,0,0.1,28.25,5,800,6500,75000,2869.0,8569.0,77069.0,1581.0,7281.0,75781.0
3,2028,2,3,1,56,91,65,15,35,27,16,11,31,0,0.30000000000000004,28.25,5,831,6996,75000,6256.0,12420.0,80425.0,2880.0,9045.0,77050.0
4,2029,3,6,2,86,97,83,22,50,46,21,11,32,0,0.6000000000000001,28.5,10,859,7675,77609,12560.0,19375.0,89310.0,5285.0,12100.0,82036.0
5,2030,5,11,4,95,93,81,31,65,67,19,9,24,0,1.1,29.0,20,910,8708,82374,21316.0,29112.0,102779.0,8636.0,16432.0,90100.0
6,2031,8,17,6,96,96,88,50,104,109,16,8,22,0,1.7000000000000002,29.5,30,993,10052,87544,34123.0,43181.0,120673.0,13549.0,22606.0,100100.0
7,2032,13,26,9,93,99,93,78,164,172,15,8,22,0,2.6,30.25,45,1123,11947,94832,52560.0,63383.0,146267.0,20640.0,31462.0,114348.0
8,2033,18,37,13,97,100,93,112,234,247,13,7,18,0,3.7,31.25,65,1245,14124,103964,72990.0,85868.0,175707.0,28487.0,41363.0,131205.0
9,2034,24,50,17,98,99,96,151,313,335,11,6,16,0,5.0,32.25,85,1383,16542,112547,95282.0,110440.0,206444.0,37054.0,52210.0,148217.0
10,2035,31,65,22,100,100,99,200,414,446,11,6,16,0,6.5,33.5,110,1609,32272,173045,121782.0,152444.0,293216.0,47279.0,77939.0,218714.0
11,2036,41,85,29,98,99,98,259,535,578,10,5,14,0,8.5,35.25,145,1812,35558,186312,151837.0,185582.0,336335.0,58849.0,92592.0,243349.0
12,2037,52,109,37,100,100,99,334,689,747,10,5,14,0,10.9,37.25,185,2022,39264,200563,189956.0,227197.0,388495.0,73508.0,110747.0,272049.0
13,2038,66,138,47,100,100,99,424,875,950,10,5,13,0,13.8,39.75,235,2273,43472,217305,235112.0,276311.0,450142.0,90886.0,132083.0,305919.0
14,2039,82,171,58,100,100,99,526,1084,1178,9,5,12,0,17.1,42.5,290,2542,47973,234613,283612.0,329043.0,515681.0,109557.0,154986.0,341630.0
15,2040,102,212,72,100,100,100,654,1346,1467,9,5,12,0,21.200000000000003,46.0,360,2858,53228,255317,343716.0,394086.0,596173.0,132737.0,183106.0,385198.0
16,2041,126,262,89,100,100,100,809,1665,1817,9,4,12,0,26.200000000000003,50.25,445,3214,59251,278945,414135.0,470172.0,689864.0,159929.0,215965.0,435661.0
17,2042,154,321,109,100,100,100,992,2041,2227,9,4,12,0,32.1,55.25,545,3605,65931,305070,493824.0,556150.0,795287.0,190737.0,253062.0,492204.0
18,2043,187,390,132,100,100,100,1202,2477,2698,8,4,11,0,39.0,61.0,660,4038,73273,333307,581688.0,650923.0,910955.0,224747.0,293982.0,554019.0
19,2044,224,468,157,100,100,100,1441,2978,3226,8,4,11,0,46.800000000000004,67.25,785,4494,81073,362153,676948.0,753528.0,1034605.0,261624.0,338203.0,619286.0
20,2045,266,556,186,100,100,100,1709,3538,3820,7,4,10,0,55.6,74.5,930,5223,130697,550843,779262.0,904737.0,1324880.0,301364.0,426837.0,846987.0
21,2046,313,655,219,100,100,100,2012,4169,4492,7,4,10,0,65.5,82.75,1095,5734,139442,584477,889512.0,1023221.0,1468253.0,343982.0,477689.0,922727.0
22,2047,365,766,256,100,100,100,2351,4876,5242,7,3,9,0,76.60000000000001,92.0,1280,6266,148657,619919,1007165.0,1149558.0,1620817.0,389377.0,531767.0,1003032.0
23,2048,423,889,296,100,100,100,3634,7545,8095,6,3,9,0,88.9,102.0,1480,6823,158254,655930,1131549.0,1282981.0,1780654.0,437259.0,588689.0,1086368.0
24,2049,488,1026,341,100,100,100,4190,8707,9324,6,3,9,0,102.60000000000001,113.25,1705,7410,168301,694006,1264547.0,1425439.0,1951141.0,488260.0,649150.0,1174858.0
25,2050,558,1174,389,100,100,100,4788,9959,10647,6,3,8,0,117.4,125.25,1945,8004,178502,732177,1401233.0,1571731.0,2125404.0,540507.0,711003.0,1264682.0
26,2051,632,1332,441,100,100,100,5430,11300,12069,6,3,8,0,133.20000000000002,138.25,2205,9215,199496,811901,1688688.0,1878970.0,2491373.0,649972.0,840252.0,1452660.0
27,2052,712,1502,497,100,100,100,6120,12743,13594,5,3,8,0,150.20000000000002,152.25,2485,10480,221321,894854,1993171.0,2204013.0,2877544.0,765463.0,976303.0,1649840.0
28,2053,801,1688,558,100,100,100,6881,14326,15285,5,3,7,0,168.8,167.5,2790,11839,244393,982158,2327756.0,2560311.0,3298074.0,913873.0,1146425.0,1884195.0
29,2054,895,1886,625,100,100,100,7691,16000,17097,5,3,7,0,188.60000000000002,184.25,3125,13226,268122,1074806,2679104.0,2934002.0,3740684.0,1099026.0,1353920.0,2160609.0
30,2055,997,2098,696,100,100,100,10705,22255,23817,5,3,7,0,209.8,202.0,3480,15407,415408,1643961,3057137.0,3457140.0,4685691.0,1333504.0,1733503.0,2962062.0
