,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.03,6500.03,75000.03,800.0,6500.0,75000.0
1,2026,1,1,1,14,7,1,2,1,1,2,2,2,0,0.1,28.25,5,800,6500,75000,806.0,6506.0,75006.0,800.0,6500.0,75000.0
2,2027,2,1,1,59,50,8,17,8,6,8,15,15,0,0.1,28.25,5,834,6500,75000,917.0,6584.0,75084.0,843.0,6510.0,75010.0
3,2028,4,2,1,83,68,22,46,20,18,8,16,31,0,0.2,28.25,5,895,6748,75000,1134.0,6987.0,75240.0,930.0,6784.0,75036.0
4,2029,8,3,1,96,97,55,107,43,44,8,21,63,0,0.30000000000000004,28.25,5,1007,6975,75000,1543.0,7511.0,75538.0,1097.0,7066.0,75091.0
5,2030,15,6,2,95,85,54,197,75,87,7,16,48,0,0.6000000000000001,28.5,10,1185,7595,77383,2170.0,8579.0,78369.0,1394.0,7805.0,77592.0
6,2031,23,9,2,100,91,88,319,120,141,6,15,64,0,0.9,28.5,10,1406,8267,77383,3073.0,9934.0,79052.0,1822.0,8684.0,77799.0
7,2032,37,13,3,99,99,93,503,189,223,6,15,65,0,1.3,28.75,15,1769,9110,79813,4462.0,11802.0,82507.0,2534.0,9875.0,80577.0
8,2033,52,19,5,100,97,81,720,269,320,5,12,46,0,1.9000000000000001,29.25,25,2135,10298,84379,5978.0,14140.0,88224.0,3303.0,11466.0,85546.0
9,2034,71,25,6,99,99,91,971,361,435,4,11,44,0,2.5,29.5,30,2570,11414,86525,7680.0,16523.0,91637.0,4192.0,13035.0,88145.0
10,2035,93,33,8,100,99,91,1288,476,579,4,11,42,0,3.3000000000000003,30.0,40,3280,19803,110724,9919.0,26441.0,117365.0,5465.0,21987.0,112907.0
11,2036,121,43,10,100,98,94,1668,616,750,4,10,40,0,4.3,30.5,50,3847,21446,114515,12240.0,29838.0,122910.0,6689.0,24287.0,117355.0
12,2037,156,55,13,100,99,94,2151,793,968,4,10,39,0,5.5,31.25,65,4513,23299,119859,15193.0,33978.0,130541.0,8224.0,27010.0,123569.0
13,2038,198,69,16,100,100,97,2735,1008,1232,4,9,39,0,6.9,32.0,80,5264,25331,124882,18719.0,38785.0,138339.0,10036.0,30103.0,129654.0
14,2039,245,86,20,100,100,96,3389,1248,1528,3,8,35,0,8.6,33.0,100,6053,27650,131176,22522.0,44117.0,147647.0,11980.0,33576.0,137103.0
15,2040,305,106,24,100,100,100,4215,1550,1903,3,9,36,0,10.600000000000001,34.0,120,7000,30214,137092,27277.0,50489.0,157370.0,14390.0,37602.0,144481.0
16,2041,377,131,30,100,100,99,5216,1916,2356,3,8,35,0,13.100000000000001,35.5,150,8068,33226,145432,32878.0,58034.0,170243.0,17199.0,42355.0,154561.0
17,2042,462,161,37,100,100,98,6394,2349,2888,3,8,34,0,16.1,37.25,185,9253,36623,154576,39246.0,66614.0,184570.0,20372.0,47740.0,165693.0
18,2043,560,195,44,100,100,100,7753,2851,3498,3,8,33,0,19.5,39.0,220,10537,40241,163170,46289.0,75991.0,198923.0,23862.0,53564.0,176493.0
19,2044,671,234,53,100,100,99,9296,3428,4183,3,7,31,0,23.400000000000002,41.25,265,11904,44141,173555,53921.0,86157.0,215573.0,27626.0,59862.0,189275.0
20,2045,796,278,62,100,100,100,11026,4072,4953,3,7,30,0,27.8,43.5,310,14073,68953,232114,62793.0,117672.0,280835.0,32358.0,87237.0,250397.0
21,2046,937,328,73,100,100,100,12980,4798,5826,3,7,29,0,32.800000000000004,46.25,365,15606,73370,243326,71559.0,129321.0,299279.0,36653.0,94415.0,264370.0
22,2047,1094,383,86,100,100,99,15164,5612,6797,3,6,27,0,38.300000000000004,49.5,430,17211,77936,255779,80855.0,141579.0,319424.0,41192.0,101915.0,279757.0
23,2048,1269,445,99,100,100,100,17581,6513,7873,2,6,26,0,44.5,52.75,495,18892,82774,267483,90606.0,154487.0,339198.0,45950.0,109829.0,294538.0
24,2049,1463,513,114,100,100,100,20271,7517,9070,2,6,25,0,51.300000000000004,56.5,570,20643,87761,280175,100880.0,167996.0,360413.0,50948.0,118062.0,310477.0
25,2050,1672,587,130,100,100,100,23167,8598,10356,2,6,24,0,58.7,60.5,650,22416,92862,292899,111276.0,181719.0,381759.0,56009.0,126450.0,326488.0
26,2051,1896,666,147,100,100,100,26272,9755,11739,2,5,23,0,66.60000000000001,64.75,735,26080,103359,318963,132744.0,210021.0,425627.0,66467.0,143742.0,359346.0
27,2052,2136,751,166,100,100,100,29610,11001,13222,2,5,22,0,75.10000000000001,69.5,830,29873,114272,347108,155020.0,239418.0,472256.0,77318.0,161714.0,394550.0
28,2053,2402,844,186,100,100,100,33291,12367,14867,2,5,21,0,84.4,74.5,930,33934,125808,375733,178876.0,270749.0,520675.0,88937.0,180808.0,430732.0
29,2054,2684,943,209,100,100,100,37209,13812,16630,2,5,20,0,94.30000000000001,80.25,1045,38094,137673,407538,203335.0,302913.0,572779.0,100855.0,200431.0,470295.0
30,2055,2989,1049,232,100,100,100,41437,15370,18533,2,5,20,0,104.9,86.0,1160,44614,211316,591913,231014.0,397715.0,778313.0,115466.0,282165.0,662760.0
