,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1,1,1,3,14,3,3,15,10,2,2,2,0,0.1,28.25,5,800,6500,75000,1085.0,6785.0,75285.0,907.0,6607.0,75107.0
2,2027,1,2,1,20,56,25,4,22,15,15,8,15,0,0.2,28.25,5,800,6772,75000,2869.0,8841.0,77069.0,1581.0,7552.0,75781.0
3,2028,1,4,1,56,77,73,8,39,30,31,8,31,0,0.4,28.25,5,800,7268,75000,6225.0,12692.0,80425.0,2850.0,9316.0,77050.0
4,2029,2,7,2,64,93,93,11,56,51,32,9,32,0,0.7000000000000001,28.5,10,828,7947,77609,12529.0,19647.0,89310.0,5255.0,12371.0,82036.0
5,2030,3,12,4,79,96,91,16,73,75,32,8,24,0,1.2000000000000002,29.0,20,854,8980,82374,21259.0,29384.0,102779.0,8580.0,16703.0,90100.0
6,2031,4,19,6,96,97,99,25,117,122,32,7,22,0,1.9000000000000001,29.5,30,882,10548,87544,34011.0,43677.0,120673.0,13438.0,23101.0,100100.0
7,2032,7,29,10,87,100,95,39,184,194,28,7,20,0,2.9000000000000004,30.5,50,960,12654,97261,52396.0,64089.0,148697.0,20477.0,32167.0,116778.0
8,2033,9,42,14,97,99,97,56,263,278,26,6,17,0,4.2,31.5,70,1009,15227,106393,72753.0,86970.0,178137.0,28251.0,42464.0,133635.0
9,2034,12,56,19,98,99,97,76,353,377,22,5,14,0,5.6000000000000005,32.75,95,1078,17831,117122,94977.0,111728.0,211020.0,36749.0,53497.0,152793.0
10,2035,16,74,25,97,99,98,100,465,502,21,5,14,0,7.4,34.25,125,1208,36707,189719,121381.0,156878.0,309891.0,46878.0,82372.0,235389.0
11,2036,21,95,32,96,100,99,130,602,651,19,5,13,0,9.5,36.0,160,1310,40157,202986,151335.0,190180.0,353010.0,58347.0,97190.0,260024.0
12,2037,26,122,41,100,100,100,167,775,840,20,5,13,0,12.200000000000001,38.25,205,1406,44326,219018,189340.0,232258.0,406951.0,72892.0,115808.0,290506.0
13,2038,33,155,53,100,100,99,212,985,1069,19,4,12,0,15.5,41.25,265,1532,49115,239108,234371.0,281952.0,471947.0,90145.0,137724.0,327724.0
14,2039,41,192,65,100,100,100,263,1220,1325,17,4,11,0,19.200000000000003,44.25,325,1667,54161,257990,282737.0,335229.0,539060.0,108682.0,161172.0,365008.0
15,2040,51,238,81,100,100,100,327,1515,1650,17,4,11,0,23.8,48.25,405,1825,60057,281651,342683.0,400913.0,622509.0,131705.0,189932.0,411534.0
16,2041,63,295,100,100,100,100,405,1873,2044,17,4,11,0,29.5,53.0,500,2003,66923,308058,412925.0,477843.0,718980.0,158719.0,223634.0,464777.0
17,2042,77,361,122,100,100,100,496,2296,2505,17,4,11,0,36.1,58.5,610,2199,74395,336796,492419.0,564613.0,827016.0,189332.0,261524.0,523932.0
