Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs,emisiones,incentivos
1,0,0,10.1,21.3,101.7,0.0,0.0,0.0,0.07,-0.0,20019708.4,0.0
1,0,0,10.7,21.4,101.7,0.0,0.0,0.0,0.07,-0.0,20019708.4,0.0
2,1,1,1.9,24.0,101.3,1.0,1.0,1.0,0.07,1.0,20020139.92,-0.0
3,4,11,1.0,1.7,101.3,1.0,5.0,1.0,0.07,13.0,20022678.28,0.0
4,8,23,7.0,24.0,101.3,2.0,1.0,1.0,0.07,5.0,20044958.1,0.0
5,16,47,6.1,10.5,605.0,3.0,7.0,1.0,0.07,23.0,122083202.87,0.0
6,24,71,3.2,21.2,101.8,4.0,7.0,1.0,0.08,27.0,20202336.17,0.0
7,32,95,1.0,5.1,265.0,6.0,25.0,2.0,0.09,74.0,53561842.08,0.0
8,48,145,1.2,15.3,734.2,9.0,30.0,1.0,0.09,93.0,148661571.48,0.0
9,57,170,1.0,19.6,1684.1,10.0,42.0,1.0,0.09,128.0,341074641.33,0.0
10,66,197,1.0,23.2,1109.8,12.0,49.0,1.0,0.1,149.0,224504247.52,0.0
11,83,248,1.0,23.4,6527.9,16.0,67.0,1.0,0.08,204.0,1320979054.35,0.0
12,100,298,1.0,24.0,6527.9,19.0,75.0,1.0,0.09,230.0,1321099499.34,-0.0
13,201,304,1.0,20.3,23707.3,24.0,100.0,2.0,0.12,307.0,4798074187.18,0.0
14,305,306,1.0,13.3,24453.3,30.0,120.0,31.0,0.11,372.0,4949691119.9,0.0
15,375,310,7.5,20.0,24453.8,35.0,120.0,31.0,0.1,385.0,4949876520.27,0.0
16,552,312,1.0,23.6,24454.3,45.0,181.0,31.0,0.09,563.0,4950368986.64,0.0
17,731,316,2.4,1.0,27038.0,56.0,123.0,72.0,0.11,445.0,5473318583.9,0.0
18,913,320,1.1,1.5,24731.1,66.0,243.0,63.0,0.16,770.0,5007094715.39,0.0
19,1096,326,1.0,1.0,38176.3,77.0,315.0,101.0,0.13,979.0,7728474479.39,0.0
20,1284,330,1.0,3.3,46249.0,88.0,359.0,88.0,0.13,1115.0,9362570181.58,0.0
21,1476,334,23.9,22.7,54263.6,99.0,368.0,88.0,0.13,1165.0,10984763295.27,0.0
22,1706,339,1.0,1.9,54367.5,111.0,457.0,88.0,0.16,1419.0,11006431917.03,0.0
23,1943,342,7.9,17.8,97145.2,125.0,447.0,139.0,0.2,1429.0,19663395831.61,0.0
24,2180,349,15.0,4.8,97145.2,139.0,447.0,139.0,0.17,1464.0,19664063587.39,0.0
25,2459,356,3.5,1.9,97145.7,155.0,447.0,139.0,0.14,1504.0,19664847282.68,0.0
26,2667,363,10.4,11.2,98354.1,167.0,632.0,213.0,0.15,1996.0,19910014814.81,0.0
27,2879,370,14.4,11.6,98354.1,180.0,632.0,213.0,0.18,2027.0,19910613558.94,0.0
28,3115,378,1.0,10.6,99070.9,193.0,785.0,213.0,0.21,2444.0,20056346460.2,0.0
29,3466,385,1.0,13.8,99347.7,213.0,857.0,213.0,0.28,2672.0,20113393052.67,0.0
30,3707,393,5.5,17.9,99560.5,228.0,886.0,213.0,0.32,2784.0,20157173093.26,0.0
31,4023,401,1.3,20.4,99560.9,248.0,886.0,213.0,0.39,2834.0,20158060858.02,0.0
