Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs,emisiones,incentivos
1,0,0,0.3,19.9,101.7,0.0,0.0,0.0,0.07,-0.0,20019708.4,0.0
1,0,0,1.3,20.1,101.7,0.0,0.0,0.0,0.07,-0.0,20019708.4,0.0
2,1,1,1.0,18.9,101.4,1.0,1.0,1.0,0.07,1.0,20020139.92,-0.0
3,4,11,8.1,16.7,101.3,1.0,1.0,1.0,0.07,5.0,20022678.28,0.0
4,8,23,7.3,23.9,101.3,2.0,1.0,1.0,0.07,5.0,20044958.1,0.0
5,16,47,1.1,8.4,1330.8,3.0,11.0,1.0,0.07,33.0,268927842.34,0.0
6,24,71,2.1,21.4,2650.7,4.0,9.0,1.0,0.07,32.0,536337306.82,0.0
7,32,95,2.2,18.3,2514.9,6.0,12.0,1.0,0.07,43.0,509064967.57,0.0
8,48,145,1.4,2.5,934.4,9.0,26.0,6.0,0.09,85.0,189299200.5,0.0
9,57,170,1.1,22.1,5662.5,10.0,37.0,1.0,0.07,116.0,1145933580.55,0.0
10,66,197,1.2,21.6,1101.0,12.0,42.0,1.0,0.1,134.0,222752625.57,0.0
11,83,248,1.0,24.0,6527.7,16.0,67.0,1.0,0.08,204.0,1320979054.35,0.0
12,100,298,1.8,24.0,6696.9,19.0,42.0,1.0,0.09,150.0,1355790923.77,-0.0
13,201,304,1.3,18.9,74558.1,24.0,77.0,2.0,0.42,251.0,15087920587.18,0.0
14,305,306,1.7,17.6,24453.4,30.0,91.0,31.0,0.11,301.0,4949691119.9,0.0
15,375,310,4.7,21.3,24453.9,35.0,120.0,31.0,0.1,385.0,4949876520.27,0.0
16,552,312,1.4,23.9,28955.5,45.0,134.0,31.0,0.09,445.0,5860710530.7,0.0
17,731,316,1.9,1.3,30991.0,56.0,123.0,63.0,0.1,445.0,6273634244.4,0.0
18,913,320,1.6,1.3,48718.0,66.0,169.0,72.0,0.13,587.0,9861198413.7,0.0
19,1096,326,1.3,1.1,51656.8,77.0,261.0,90.0,0.12,842.0,10455995102.36,0.0
20,1284,330,1.0,1.4,54313.8,88.0,367.0,89.0,0.11,1135.0,10994387182.97,0.0
21,1476,334,23.6,22.6,54263.6,99.0,368.0,88.0,0.13,1165.0,10984763295.27,0.0
22,1706,339,1.3,1.9,97533.8,111.0,368.0,88.0,0.25,1196.0,19741576008.32,0.0
23,1943,342,10.1,2.0,97145.2,125.0,447.0,139.0,0.2,1429.0,19663395831.61,0.0
24,2180,349,18.8,5.6,97145.2,139.0,447.0,139.0,0.17,1464.0,19664063587.39,0.0
25,2459,356,1.3,1.3,97984.9,155.0,497.0,177.0,0.15,1629.0,19834791719.93,0.0
26,2667,363,10.4,10.8,98354.7,167.0,632.0,213.0,0.15,1996.0,19910014814.81,0.0
27,2879,370,15.3,11.7,98354.1,180.0,632.0,213.0,0.18,2027.0,19910613558.94,0.0
28,3115,378,1.0,17.6,98979.0,193.0,800.0,213.0,0.21,2480.0,20037775211.71,0.0
29,3466,385,1.7,14.4,99933.6,213.0,632.0,213.0,0.27,2112.0,20232178958.91,0.0
30,3707,393,6.1,17.7,99560.5,228.0,886.0,213.0,0.32,2784.0,20157173093.26,0.0
31,4023,401,1.3,20.7,99560.9,248.0,886.0,213.0,0.39,2834.0,20158060858.02,0.0
