Hora,P_carga [kW],FC red,S max need
2025-01-01 00:00:00,259529.10923600447,0.5827236387737659,230692.54154311508
2025-01-01 00:05:00,257216.27124282587,0.5775305975182138,228636.68554917857
2025-01-01 00:10:00,254903.43314964723,0.5723375560381305,226580.8294663531
2025-01-01 00:15:00,252590.59515646863,0.5671445147825784,224524.97347241655
2025-01-01 00:20:00,250277.75706329,0.5619514733024952,222469.11738959112
2025-01-01 00:25:00,247964.91907011135,0.556758432046943,220413.26139565452
2025-01-01 00:30:00,245652.0809769328,0.5515653905668599,218357.40531282916
2025-01-01 00:35:00,243339.24298375417,0.5463723493113078,216301.54931889262
2025-01-01 00:40:00,241026.4049905756,0.5411793080557559,214245.69332495608
2025-01-01 00:45:00,238713.56689739693,0.5359862665756725,212189.83724213063
2025-01-01 00:50:00,236400.72890421835,0.5307932253201205,210133.98124819412
2025-01-01 00:55:00,234087.8908110397,0.5256001838400371,208078.1251653686
2025-01-01 01:00:00,231775.05281786108,0.5204071425844852,206022.2691714321
2025-01-01 01:05:00,231315.3807023313,0.5193750355942793,205613.6717354056
2025-01-01 01:10:00,230855.7085868016,0.5183429286040738,205205.07429937922
2025-01-01 01:15:00,230396.0364712718,0.517310821613868,204796.4768633527
2025-01-01 01:20:00,229936.36435574203,0.5162787146236623,204387.87942732626
2025-01-01 01:25:00,229476.69224021223,0.5152466076334565,203979.28199129977
2025-01-01 01:30:00,229017.0201246825,0.5142145006432508,203570.68455527333
2025-01-01 01:35:00,228557.3479091527,0.513182393428514,203162.08703035797
2025-01-01 01:40:00,228097.6757936229,0.5121502864383082,202753.48959433148
2025-01-01 01:45:00,227638.0036780932,0.5111181794481027,202344.8921583051
2025-01-01 01:50:00,227178.3315625634,0.5100860724578968,201936.29472227857
2025-01-01 01:55:00,226718.6594470337,0.5090539654676913,201527.6972862522
2025-01-01 02:00:00,226258.98733150383,0.5080218584774854,201119.09985022564
2025-01-01 02:05:00,225830.0183159741,0.507058689504315,200737.79405864366
2025-01-01 02:10:00,225401.04920044437,0.5060955203066134,200356.4881781728
2025-01-01 02:15:00,224972.0802049146,0.505132351378349,199975.18240436853
2025-01-01 02:20:00,224543.1111693848,0.5041691823602722,199593.8765950087
2025-01-01 02:25:00,224114.14212385504,0.5032060133197424,199212.57077676005
2025-01-01 02:30:00,223685.17308832525,0.5022428443016654,198831.2649674002
2025-01-01 02:35:00,223256.20405279548,0.5012796752835887,198449.95915804044
2025-01-01 02:40:00,222827.23500726573,0.5003165062430589,198068.65333979175
2025-01-01 02:45:00,222398.265961736,0.49935333720252917,197687.34752154312
2025-01-01 02:50:00,221969.29692620615,0.49839016818445214,197306.04171218324
2025-01-01 02:55:00,221540.32788067643,0.4974269991439224,196924.73589393462
2025-01-01 03:00:00,221111.35884514663,0.4964638301258456,196543.4300845748
2025-01-01 03:05:00,222979.87629279547,0.5006592334446158,198204.33448248488
2025-01-01 03:10:00,224848.39375044435,0.5048546367858392,199865.23888928388
2025-01-01 03:15:00,226716.9111980932,0.5090500401046094,201526.14328719396
2025-01-01 03:20:00,228585.42865574203,0.5132454434458326,203187.0476939929
2025-01-01 03:25:00,230453.94611339088,0.5174408467870559,204847.95210079188
2025-01-01 03:30:00,232322.4635610397,0.5216362501058261,206508.85649870196
2025-01-01 03:35:00,234190.9810086885,0.5258316534245963,208169.76089661202
2025-01-01 03:40:00,236059.49846633736,0.5300270567658195,209830.66530341102
