Año,Utilidades (miles de dólares),Costos (miles de dólares)
2025,13202,5500
2026,11297,1185
2027,9445,1684
2028,7009,2723
2029,4930,3571
2030,3250,4414
2031,756,6631
2032,480,8792
2033,316,10852
2034,135,14946
2035,36,19325
2036,5,25599
2037,0,31596
2038,0,34131
2039,0,42878
2040,0,50150
2041,0,56093
2042,0,60832
2043,0,64572
2044,0,67447
2045,0,71332
2046,0,73529
2047,0,75328
2048,0,77582
2049,0,77006
2050,0,76097
2051,0,75382
2052,0,76683
2053,0,75135
2054,0,74655
