Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor
1,0,0,10.6,19.5,977.6,0.0,0.0,0.0,0.07
2,1,1,21.7,24.0,849.7,1.0,1.0,1.0,0.07
3,4,11,20.9,22.5,799.6,1.0,1.0,1.0,0.07
4,8,23,19.6,21.7,826.6,2.0,1.0,1.0,0.07
5,16,47,15.1,20.9,1076.7,3.0,1.0,1.0,0.07
6,24,71,19.3,20.2,3263.8,4.0,1.0,1.0,0.07
7,32,95,16.4,23.8,4122.0,6.0,2.0,1.0,0.07
8,48,145,20.4,17.4,6108.8,9.0,2.0,1.0,0.07
9,57,170,22.4,16.2,5458.5,10.0,2.0,1.0,0.07
10,66,197,16.2,18.7,6563.8,12.0,3.0,1.0,0.07
11,83,248,24.0,19.7,11007.9,16.0,3.0,1.0,0.08
12,100,298,22.7,24.0,8533.4,19.0,4.0,1.0,0.08
13,201,304,24.0,18.3,13146.8,24.0,5.0,2.0,0.08
14,305,306,24.0,22.9,16911.4,30.0,5.0,2.0,0.08
15,375,310,24.0,24.0,20352.9,35.0,6.0,2.0,0.08
16,552,312,23.9,21.8,27124.6,45.0,8.0,3.0,0.09
17,731,316,23.1,23.4,32612.1,56.0,10.0,4.0,0.09
18,913,320,24.0,22.4,40155.9,66.0,12.0,4.0,0.1
19,1096,326,23.9,20.7,45750.3,77.0,14.0,5.0,0.1
20,1284,330,24.0,20.1,50633.9,88.0,16.0,6.0,0.11
21,1476,334,23.5,23.9,64952.6,99.0,18.0,6.0,0.12
22,1706,339,23.8,24.0,67584.8,111.0,20.0,7.0,0.12
23,1943,342,23.8,22.9,75583.0,125.0,23.0,8.0,0.13
24,2180,349,24.0,23.1,85335.7,139.0,25.0,9.0,0.13
25,2459,356,24.0,24.0,93397.4,155.0,28.0,10.0,0.14
26,2667,363,24.0,22.6,96575.3,167.0,29.0,11.0,0.15
27,2879,370,24.0,23.6,99043.1,180.0,32.0,11.0,0.17
28,3115,378,24.0,24.0,99650.3,193.0,34.0,12.0,0.21
29,3466,385,24.0,24.0,99944.0,213.0,37.0,13.0,0.27
30,3707,393,23.9,23.6,99964.0,228.0,40.0,14.0,0.32
31,4023,401,23.8,24.0,99993.1,248.0,43.0,15.0,0.39
