Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor
1,0,0,10.2,18.9,1003.3,0.0,0.0,0.0,0.07
2,1,1,1.4,23.9,967.0,1.0,1.0,1.0,0.07
3,4,11,22.6,14.0,794.5,1.0,1.0,1.0,0.07
4,8,23,7.1,22.8,953.5,2.0,1.0,1.0,0.07
5,16,47,15.1,20.9,1325.3,3.0,1.0,1.0,0.07
6,24,71,18.8,14.5,2745.6,4.0,1.0,1.0,0.07
7,32,95,23.7,13.5,2856.2,6.0,2.0,1.0,0.07
8,48,145,20.0,19.9,6112.3,9.0,2.0,1.0,0.07
9,57,170,20.7,19.8,5495.0,10.0,2.0,1.0,0.07
10,66,197,17.6,18.8,6696.6,12.0,3.0,1.0,0.07
11,83,248,24.0,19.5,7670.9,16.0,3.0,1.0,0.08
12,100,298,22.7,24.0,9455.1,19.0,4.0,1.0,0.08
13,201,304,24.0,20.8,13119.8,24.0,5.0,2.0,0.08
14,305,306,24.0,22.5,17483.6,30.0,5.0,2.0,0.08
15,375,310,24.0,24.0,20559.8,35.0,6.0,2.0,0.08
16,552,312,24.0,21.8,28117.2,45.0,8.0,3.0,0.09
17,731,316,23.1,23.4,32500.2,56.0,10.0,4.0,0.09
18,913,320,23.2,23.8,37748.0,66.0,12.0,4.0,0.1
19,1096,326,23.9,23.8,45735.4,77.0,14.0,5.0,0.1
20,1284,330,24.0,22.1,50824.1,88.0,16.0,6.0,0.11
21,1476,334,23.3,24.0,58207.8,99.0,18.0,6.0,0.12
22,1706,339,23.6,24.0,67544.3,111.0,20.0,7.0,0.12
23,1943,342,23.6,23.3,74399.7,125.0,23.0,8.0,0.13
24,2180,349,24.0,22.0,84192.4,139.0,25.0,9.0,0.13
25,2459,356,23.4,24.0,97777.1,155.0,28.0,10.0,0.14
26,2667,363,24.0,23.1,96608.0,167.0,29.0,11.0,0.15
27,2879,370,24.0,23.8,99921.5,180.0,32.0,11.0,0.17
28,3115,378,24.0,24.0,99552.1,193.0,34.0,12.0,0.21
29,3466,385,24.0,24.0,99960.0,213.0,37.0,13.0,0.27
30,3707,393,23.8,24.0,99966.3,228.0,40.0,14.0,0.32
31,4023,401,24.0,24.0,99997.7,248.0,43.0,15.0,0.39
