Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor
1,0,0,1.9,18.9,669.5,0.0,0.0,0.0,0.07
2,1,1,1.1,24.0,793.5,1.0,1.0,1.0,0.07
3,4,11,18.7,22.6,796.9,1.0,1.0,1.0,0.07
4,8,23,7.4,22.8,932.3,2.0,1.0,1.0,0.07
5,16,47,16.8,20.2,2744.0,3.0,1.0,1.0,0.07
6,24,71,19.2,15.6,2848.7,4.0,1.0,1.0,0.07
7,32,95,23.7,13.5,2856.6,6.0,2.0,1.0,0.07
8,48,145,22.4,16.4,5302.4,9.0,2.0,1.0,0.07
9,57,170,24.0,18.7,5393.1,10.0,2.0,1.0,0.07
10,66,197,16.3,18.9,6843.6,12.0,3.0,1.0,0.07
11,83,248,24.0,19.0,7662.1,16.0,3.0,1.0,0.08
12,100,298,21.8,24.0,13019.4,19.0,4.0,1.0,0.08
13,201,304,24.0,18.8,13110.1,24.0,5.0,2.0,0.08
14,305,306,24.0,22.6,17022.3,30.0,5.0,2.0,0.08
15,375,310,24.0,24.0,20552.4,35.0,6.0,2.0,0.08
16,552,312,22.6,21.8,27209.0,45.0,8.0,3.0,0.09
17,731,316,23.1,24.0,32612.1,56.0,10.0,4.0,0.09
18,913,320,24.0,24.0,40187.7,66.0,12.0,4.0,0.1
19,1096,326,23.4,20.7,45735.5,77.0,14.0,5.0,0.1
20,1284,330,24.0,23.5,50496.9,88.0,16.0,6.0,0.11
21,1476,334,23.1,24.0,63125.2,99.0,18.0,6.0,0.12
22,1706,339,23.8,24.0,67467.9,111.0,20.0,7.0,0.12
23,1943,342,24.0,22.7,74398.0,125.0,23.0,8.0,0.13
24,2180,349,23.6,23.3,85146.9,139.0,25.0,9.0,0.13
25,2459,356,23.7,24.0,93456.3,155.0,28.0,10.0,0.14
26,2667,363,24.0,22.4,96610.1,167.0,29.0,11.0,0.15
27,2879,370,24.0,23.5,99551.3,180.0,32.0,11.0,0.17
28,3115,378,24.0,23.6,99672.0,193.0,34.0,12.0,0.21
29,3466,385,24.0,24.0,99959.4,213.0,37.0,13.0,0.27
30,3707,393,23.8,24.0,99975.4,228.0,40.0,14.0,0.32
31,4023,401,23.9,24.0,99992.9,248.0,43.0,15.0,0.39
