Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,Empleos
1,0,0,13.8,21.7,11000.5,0.0,0.0,0.0,0.13,-0.0
2,1,1,23.9,9.3,11381.7,1.0,1.0,1.0,0.13,-0.0
3,4,11,16.7,16.4,11386.3,1.0,1.0,1.0,0.13,5.0
4,8,23,14.8,8.5,11420.1,2.0,1.0,1.0,0.13,5.0
5,16,47,13.3,19.6,11459.0,3.0,1.0,1.0,0.13,8.0
6,24,71,10.2,8.0,11424.3,4.0,2.0,1.0,0.12,14.0
7,32,95,13.0,22.3,11467.7,6.0,2.0,1.0,0.12,18.0
8,48,145,9.0,18.4,12416.7,9.0,4.0,1.0,0.11,30.0
9,57,170,10.7,24.0,12454.7,10.0,4.0,1.0,0.11,34.0
10,66,197,13.7,18.5,13236.4,12.0,6.0,1.0,0.1,44.0
11,83,248,9.6,18.6,13267.0,16.0,7.0,1.0,0.09,55.0
13,201,304,9.2,21.5,14898.9,24.0,11.0,2.0,0.08,86.0
14,305,306,8.5,23.5,18260.8,30.0,14.0,2.0,0.08,109.0
15,375,310,9.1,23.8,21020.9,35.0,16.0,2.0,0.08,125.0
16,552,312,8.6,21.4,26017.4,45.0,21.0,3.0,0.09,164.0
17,731,316,11.5,20.7,33294.5,56.0,20.0,4.0,0.09,188.0
18,913,320,13.2,24.0,38942.3,66.0,21.0,4.0,0.1,217.0
19,1096,326,8.4,23.2,39434.9,77.0,39.0,5.0,0.12,289.0
20,1284,330,8.5,22.4,39983.9,88.0,43.0,6.0,0.15,326.0
21,1476,334,8.7,23.0,39998.8,99.0,48.0,6.0,0.19,365.0
22,1706,339,8.2,23.8,39999.9,111.0,58.0,7.0,0.24,421.0
23,1943,342,8.7,23.5,39999.9,125.0,61.0,8.0,0.29,464.0
24,2180,349,9.7,22.0,40000.0,139.0,60.0,9.0,0.34,497.0
25,2459,356,9.0,22.9,40000.0,155.0,73.0,10.0,0.4,568.0
26,2667,363,8.6,20.5,40000.0,167.0,80.0,12.0,0.44,615.0
27,2879,370,8.3,23.5,40000.0,180.0,91.0,11.0,0.48,675.0
28,3115,378,8.3,24.0,40000.0,193.0,96.0,12.0,0.53,721.0
29,3466,385,8.9,24.0,40000.0,213.0,100.0,13.0,0.61,782.0
30,3707,393,8.2,24.0,40000.0,228.0,115.0,14.0,0.66,856.0
31,4023,401,11.4,23.9,40000.0,248.0,119.0,15.0,0.72,916.0
