Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,Empleos
1,0,0,13.9,21.7,11005.2,0.0,0.0,0.0,0.13,-0.0
2,1,1,24.0,9.3,11381.7,1.0,1.0,1.0,0.13,-0.0
3,4,11,18.9,17.9,11399.1,1.0,1.0,1.0,0.13,5.0
4,8,23,13.7,8.0,11426.4,2.0,1.0,1.0,0.13,5.0
5,16,47,8.1,17.9,11448.3,3.0,2.0,1.0,0.13,10.0
6,24,71,8.9,17.9,11961.0,4.0,3.0,1.0,0.12,15.0
7,32,95,8.5,23.9,12619.1,6.0,3.0,1.0,0.12,21.0
8,48,145,8.0,20.2,12413.5,9.0,5.0,1.0,0.11,31.0
9,57,170,8.2,23.4,12795.4,10.0,6.0,1.0,0.11,37.0
10,66,197,13.6,18.9,13237.8,12.0,6.0,1.0,0.1,44.0
11,83,248,14.4,19.0,13266.4,16.0,6.0,1.0,0.09,52.0
13,201,304,14.1,18.7,14676.1,24.0,9.0,2.0,0.08,81.0
14,305,306,9.5,22.9,18263.5,30.0,13.0,2.0,0.08,106.0
15,375,310,16.9,23.9,21082.8,35.0,15.0,2.0,0.08,123.0
16,552,312,8.0,22.9,29304.3,45.0,23.0,3.0,0.09,168.0
17,731,316,8.0,20.8,32700.8,56.0,29.0,4.0,0.09,209.0
18,913,320,17.2,23.7,38526.1,66.0,18.0,4.0,0.1,209.0
19,1096,326,8.0,23.3,39397.5,77.0,41.0,5.0,0.12,294.0
20,1284,330,11.3,22.0,39992.8,88.0,35.0,6.0,0.15,306.0
21,1476,334,9.4,23.2,39998.3,99.0,46.0,6.0,0.19,360.0
22,1706,339,11.5,23.5,39999.8,111.0,52.0,7.0,0.24,406.0
23,1943,342,8.0,23.0,40000.0,125.0,67.0,8.0,0.29,477.0
24,2180,349,8.0,23.7,40000.0,139.0,73.0,9.0,0.34,529.0
25,2459,356,23.8,22.8,40000.0,155.0,59.0,10.0,0.4,534.0
26,2667,363,13.0,23.7,40000.0,167.0,59.0,11.0,0.44,563.0
27,2879,370,9.4,23.9,40000.0,180.0,86.0,11.0,0.48,662.0
28,3115,378,8.0,24.0,40000.0,193.0,100.0,12.0,0.53,731.0
29,3466,385,10.2,24.0,40000.0,213.0,94.0,13.0,0.61,767.0
30,3707,393,8.0,24.0,40000.0,228.0,119.0,14.0,0.66,864.0
31,4023,401,12.1,24.0,40000.0,248.0,119.0,15.0,0.72,916.0
1,0,0,13.9,21.7,11005.2,0.0,0.0,0.0,0.13,-0.0
2,1,1,24.0,9.3,11381.7,1.0,1.0,1.0,0.13,-0.0
3,4,11,18.9,17.9,11399.1,1.0,1.0,1.0,0.13,5.0
4,8,23,13.7,8.0,11426.4,2.0,1.0,1.0,0.13,5.0
5,16,47,8.1,17.9,11448.3,3.0,2.0,1.0,0.13,10.0
6,24,71,8.9,17.9,11961.0,4.0,3.0,1.0,0.12,15.0
7,32,95,8.5,23.9,12619.1,6.0,3.0,1.0,0.12,21.0
8,48,145,8.0,20.2,12413.5,9.0,5.0,1.0,0.11,31.0
9,57,170,8.2,23.4,12795.4,10.0,6.0,1.0,0.11,37.0
10,66,197,13.6,18.9,13237.8,12.0,6.0,1.0,0.1,44.0
11,83,248,14.4,19.0,13266.4,16.0,6.0,1.0,0.09,52.0
13,201,304,14.1,18.7,14676.1,24.0,9.0,2.0,0.08,81.0
14,305,306,9.5,22.9,18263.5,30.0,13.0,2.0,0.08,106.0
15,375,310,16.9,23.9,21082.8,35.0,15.0,2.0,0.08,123.0
16,552,312,8.0,22.9,29304.3,45.0,23.0,3.0,0.09,168.0
17,731,316,8.0,20.8,32700.8,56.0,29.0,4.0,0.09,209.0
18,913,320,17.2,23.7,38526.1,66.0,18.0,4.0,0.1,209.0
19,1096,326,8.0,23.3,39397.5,77.0,41.0,5.0,0.12,294.0
20,1284,330,11.3,22.0,39992.8,88.0,35.0,6.0,0.15,306.0
21,1476,334,9.4,23.2,39998.3,99.0,46.0,6.0,0.19,360.0
22,1706,339,11.5,23.5,39999.8,111.0,52.0,7.0,0.24,406.0
23,1943,342,8.0,23.0,40000.0,125.0,67.0,8.0,0.29,477.0
24,2180,349,8.0,23.7,40000.0,139.0,73.0,9.0,0.34,529.0
25,2459,356,23.8,22.8,40000.0,155.0,59.0,10.0,0.4,534.0
26,2667,363,13.0,23.7,40000.0,167.0,59.0,11.0,0.44,563.0
27,2879,370,9.4,23.9,40000.0,180.0,86.0,11.0,0.48,662.0
28,3115,378,8.0,24.0,40000.0,193.0,100.0,12.0,0.53,731.0
29,3466,385,10.2,24.0,40000.0,213.0,94.0,13.0,0.61,767.0
30,3707,393,8.0,24.0,40000.0,228.0,119.0,14.0,0.66,864.0
31,4023,401,12.1,24.0,40000.0,248.0,119.0,15.0,0.72,916.0
