Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs,emisiones,incentivos
5,16,47,10.0,12.6,11000.0,3.0,2.0,1.0,0.12,9.0,2226982676.48,0.0
15,375,310,22.4,23.6,11000.2,35.0,7.0,2.0,0.13,101.0,2226091200.0,0.0
25,2459,356,8.0,19.4,30572.3,155.0,82.0,12.0,0.45,590.0,6186662400.0,0.0
30,3707,393,10.5,9.5,39987.9,228.0,91.0,35.0,0.66,794.0,8092137600.0,0.0
