Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs,emisiones,incentivos
5,16,47,12.6,21.5,11000.0,3.0,1.0,1.0,0.12,8.0,2226982676.48,0.0
15,375,310,24.0,20.6,11001.5,35.0,6.0,3.0,0.13,100.0,2226792000.0,0.0
25,2459,356,8.0,17.3,33242.9,155.0,82.0,13.0,0.44,590.0,6726979200.0,0.0
30,3707,393,8.7,8.0,26444.1,228.0,109.0,42.0,0.74,841.0,5351308800.0,0.0
