Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs,emisiones,incentivos
1,0,0,12.1,22.1,11000.1,0.0,0.0,0.0,0.13,-0.0,2227135506.14,0.0
2,1,1,8.1,22.0,11000.1,1.0,1.0,1.0,0.13,-0.0,2227130193.05,0.0
10,66,197,8.1,19.4,11000.2,12.0,6.0,1.0,0.09,44.0,2226503543.43,0.0
20,1284,330,23.9,22.0,39994.9,88.0,16.0,6.0,0.15,256.0,8093866268.74,0.0
31,4023,401,22.5,23.9,37194.5,248.0,46.0,15.0,0.74,734.0,7526942400.0,0.0
