Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs,emisiones,incentivos
1,0,0,14.8,9.5,11000.1,0.0,0.0,0.0,0.13,-0.0,2227135506.14,0.0
2,1,1,8.0,19.1,11000.1,1.0,1.0,1.0,0.13,-0.0,2227130193.05,0.0
10,66,197,17.1,22.0,11000.0,12.0,3.0,1.0,0.09,36.0,2226503543.43,0.0
20,1284,330,8.0,21.5,30710.6,88.0,46.0,6.0,0.2,333.0,6214694400.0,0.0
31,4023,401,18.1,13.7,31162.1,248.0,57.0,26.0,0.78,760.0,6306148800.0,0.0
