Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs,emisiones,incentivos
5,16,47,10.6,19.5,11000.0,3.0,2.0,1.0,0.12,9.0,2226982676.48,0.0
15,375,310,23.6,23.5,20734.0,35.0,7.0,2.0,0.08,100.0,4196527428.22,0.0
25,2459,356,14.6,8.1,39793.7,155.0,45.0,28.0,0.4,498.0,8052892800.0,0.0
30,3707,393,23.9,16.2,26844.3,228.0,40.0,21.0,0.73,668.0,5432601600.0,0.0
