Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs,emisiones,incentivos
5,16,47,15.5,12.8,11000.0,3.0,1.0,1.0,0.12,8.0,2226982676.48,0.0
15,375,310,11.9,23.5,21396.6,35.0,12.0,2.0,0.09,115.0,4330788384.83,0.0
25,2459,356,19.3,8.1,21866.2,155.0,34.0,28.0,0.5,471.0,4424851200.0,0.0
30,3707,393,8.0,14.6,26844.3,228.0,119.0,23.0,0.73,864.0,5432601600.0,0.0
