Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs,emisiones,incentivos
1,0,0,12.2,22.7,11000.1,0.0,0.0,0.0,0.13,-0.0,2227135506.14,0.0
2,1,1,8.0,19.1,11000.1,1.0,1.0,1.0,0.13,-0.0,2227130193.05,0.0
10,66,197,8.1,19.4,11000.6,12.0,6.0,1.0,0.09,44.0,2226503543.43,0.0
20,1284,330,23.2,18.7,11000.4,88.0,16.0,7.0,0.32,258.0,2226091200.0,0.0
31,4023,401,9.2,8.9,35036.9,248.0,112.0,40.0,0.75,897.0,7089993600.0,0.0
