Año,Utilidades (miles de dólares),Costos (miles de dólares)
2025,14539,6139
2026,13871,1641
2027,13166,2143
2028,11771,3151
2029,10669,3974
2030,9799,4615
2031,7823,6152
2032,7387,6592
2033,7047,6976
2034,5947,8094
2035,5175,11052
2036,3366,11928
2037,2549,15316
2038,2440,16627
2039,1742,23104
2040,1377,28793
2041,1157,33482
2042,1024,37168
2043,947,39997
2044,907,42065
2045,846,45993
2046,811,46599
2047,801,47736
2048,775,49325
2049,839,48271
2050,913,46922
2051,980,45774
2052,982,46539
2053,1077,44642
2054,1143,43773
