Import Power [kW],Export Power [kW],Load Power [kW],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],PV/Import Power (%),Battery Utilization Rate (%),Profit surplus energy - [USD]
2503.8686,0.0,5182.3532,1862.4845,0.0,816.0,35.938973359418526,15.745742990766104,0.0
2197.4319,0.0,6119.5872,3106.1553,0.0,816.0,50.75759521818727,13.33423274040445,0.0
3723.5819,0.0,7056.8213,2517.2394,0.0,816.0,35.67100955213362,11.563279914711742,0.0
4357.9294,0.0,7994.0554,2820.126,0.0,816.0,35.2777890430932,10.207585001224786,0.0
5343.6453,0.0,8931.2895,2771.6442,0.0,816.0,31.032967859792247,9.136418654887404,0.0
6889.288,0.0,9868.5236,2163.2356,0.0,816.0,21.920559626568657,8.268714075933303,0.0
6694.9457,0.0,10805.758,3294.812,0.0,816.0,30.491263005092183,7.551529681255022,0.0
0.0,0.0,11742.992,12326.294,583.30265,0.0,100.0,0.0,0.0
0.0,0.0,12680.226,12261.319,0.0,418.90711,96.69637507749458,3.3036249225054237,0.0
678.27129,0.0,13617.46,12123.189,0.0,816.0,89.0267989905774,5.992306807747629,0.0
0.0,4476.4993,14554.694,19881.193,850.0,0.0,100.0,0.0,537.179916
0.0,4558.2804,15216.271,20624.551,850.0,0.0,100.0,0.0,546.9936479999999
0.0,2870.2694,15877.848,19598.117,850.0,0.0,100.0,0.0,344.432328
0.0,3548.6453,16539.425,20938.07,850.0,0.0,100.0,0.0,425.837436
9257.2159,0.0,17201.002,7127.7861,0.0,816.0,41.43820284422966,4.743909686191537,0.0
4853.4166,0.0,17862.579,12193.162,0.0,816.0,68.26092846415803,4.568209429740452,0.0
0.0,5235.7215,18524.156,24609.878,850.0,0.0,100.0,0.0,628.28658
0.0,7486.6905,19185.733,27522.423,850.0,0.0,100.0,0.0,898.4028599999999
5381.8746,0.0,19847.31,13649.435,0.0,816.0,68.7722178727942,4.111388477559699,0.0
5669.9551,0.0,20508.887,14022.932,0.0,816.0,68.37490465291995,3.9787629432120672,0.0
12358.821,0.0,21170.464,7995.643,0.0,816.0,37.76791571502637,3.854426620030624,0.0
3464.8845,0.0,21832.041,17551.157,0.0,816.0,80.39173523923542,3.73762572776348,0.0
12810.937,0.0,22493.618,8866.6805,0.0,816.0,39.418650646122174,3.627695723020097,0.0
11411.769,0.0,22934.669,10706.901,0.0,816.0,46.68434732219823,3.557932161221417,0.0
8982.9853,0.0,23375.721,13576.735,0.0,816.0,58.0804990210291,3.4908015219535287,0.0
10114.687,0.0,23816.772,12886.085,0.0,816.0,54.10508611326505,3.426156995582777,0.0
8725.0602,0.0,24257.823,14716.763,0.0,816.0,60.66811056649139,3.3638632505162294,0.0
11624.737,0.0,24698.875,12258.138,0.0,816.0,49.63034956045569,3.3037942011528862,0.0
12391.575,0.0,25139.926,11932.351,0.0,816.0,47.46374750665535,3.245832943183683,0.0
8527.4199,0.0,25580.977,16237.557,0.0,816.0,63.47512475178382,3.1898703602675935,0.0
4016.2344,0.0,26022.029,21189.794,0.0,816.0,81.43021625477897,3.1358047399563973,0.0
8001.4134,0.0,26463.08,17645.667,0.0,816.0,66.68032116170421,3.0835412494155436,0.0
8086.6889,0.0,26904.131,18001.442,0.0,816.0,66.90958376209804,3.0329914875637183,0.0
8511.837,0.0,27345.183,18017.346,0.0,816.0,65.88855521647086,2.9840721855838375,0.0
14048.195,0.0,27786.234,13738.039,0.0,0.0,49.44188910235191,0.0,0.0
2222.1707,0.0,28034.325,25812.155,0.0,0.0,92.07339343995707,0.0,0.0
9082.7865,0.0,28282.417,19199.63,0.0,0.0,67.88539444640455,0.0,0.0
5551.3837,0.0,28530.508,22979.124,0.0,0.0,80.5422891230218,0.0,0.0
5184.7053,0.0,28778.6,23593.894,0.0,0.0,81.98416383663259,0.0,0.0
0.0,12520.164,29026.691,42396.855,850.0,0.0,100.0,0.0,1502.41968
200.21257,0.0,29274.782,29074.57,0.0,0.0,99.31609203408681,0.0,0.0
7042.199,0.0,29522.874,22480.675,0.0,0.0,76.14663463997441,0.0,0.0
13759.232,0.0,29770.965,16011.733,0.0,0.0,53.783050028778035,0.0,0.0
13079.035,0.0,30019.056,16940.022,0.0,0.0,56.430893215599674,0.0,0.0
14690.706,0.0,30267.148,15576.441,0.0,0.0,51.463195391359484,0.0,0.0
18608.788,0.0,30515.239,11906.452,0.0,0.0,39.01805130813325,0.0,0.0
19859.685,0.0,30763.33,10903.645,0.0,0.0,35.44364345472353,0.0,0.0
19451.961,0.0,30956.29,11504.329,0.0,0.0,37.16313873529418,0.0,0.0
20866.736,0.0,31149.25,10282.514,0.0,0.0,33.01047055707601,0.0,0.0
20757.537,0.0,31342.21,10584.674,0.0,0.0,33.77130605112703,0.0,0.0
21968.752,0.0,31535.17,9566.4185,0.0,0.0,30.335711994961308,0.0,0.0
16603.793,0.0,31728.13,15124.338,0.0,0.0,47.66854372859214,0.0,0.0
16556.388,0.0,31921.09,15364.702,0.0,0.0,48.13338767567148,0.0,0.0
11799.383,0.0,32114.05,20314.667,0.0,0.0,63.25787933941685,0.0,0.0
16433.407,0.0,32307.01,15873.603,0.0,0.0,49.13361836951176,0.0,0.0
17090.739,0.0,32499.97,15409.231,0.0,0.0,47.413062227442055,0.0,0.0
18778.139,0.0,32692.93,13914.791,0.0,0.0,42.56207993593722,0.0,0.0
12403.558,0.0,32885.89,20482.332,0.0,0.0,62.283039929890904,0.0,0.0
13696.106,0.0,33078.85,19382.744,0.0,0.0,58.59557995516773,0.0,0.0
0.0,12004.867,32582.667,45437.535,850.0,0.0,100.0,0.0,1440.58404
2323.0818,0.0,32086.484,29763.403,0.0,0.0,92.75993673199129,0.0,0.0
13704.271,0.0,31590.302,17886.031,0.0,0.0,56.61874014373145,0.0,0.0
11967.189,0.0,31094.119,19126.93,0.0,0.0,61.5130147279619,0.0,0.0
12611.488,0.0,30597.936,17986.448,0.0,0.0,58.78320681499562,0.0,0.0
11743.626,0.0,30101.753,18358.127,0.0,0.0,60.986903320879684,0.0,0.0
9635.3199,0.0,29605.571,19970.251,0.0,0.0,67.45436886677298,0.0,0.0
8622.058,0.0,29109.388,20487.33,0.0,0.0,70.38049030780036,0.0,0.0
10111.496,0.0,28613.205,18501.71,0.0,0.0,64.66143640107998,0.0,0.0
9659.3872,0.0,28117.022,18457.635,0.0,0.0,65.64576742411933,0.0,0.0
4608.0916,0.0,27620.84,23012.748,0.0,0.0,83.31661286646768,0.0,0.0
0.0,6716.4463,27124.657,34691.103,850.0,0.0,100.0,0.0,805.9735559999999
635.02542,0.0,26793.868,26158.843,0.0,0.0,97.62995992200217,0.0,0.0
5466.3952,0.0,26463.08,20996.685,0.0,0.0,79.34331469093307,0.0,0.0
7398.8503,0.0,26132.291,18733.441,0.0,0.0,71.68694388463365,0.0,0.0
5489.5619,0.0,25801.503,20311.941,0.0,0.0,78.72386767051465,0.0,0.0
5875.7777,0.0,25470.714,19594.937,0.0,0.0,76.93124135224993,0.0,0.0
5421.8535,0.0,25139.926,19718.073,0.0,0.0,78.43329613553166,0.0,0.0
9695.2503,0.0,24809.137,15113.887,0.0,0.0,60.920647168170575,0.0,0.0
10185.518,0.0,24478.349,14292.831,0.0,0.0,58.38968551351237,0.0,0.0
8434.8066,0.0,24147.56,15712.754,0.0,0.0,65.06973627804045,0.0,0.0
10056.469,0.0,23816.772,13760.303,0.0,0.0,57.77568429508416,0.0,0.0
10316.368,0.0,23485.984,13169.615,0.0,0.0,56.074361460621006,0.0,0.0
8720.599,0.0,23155.195,14434.596,0.0,0.0,62.338477391358616,0.0,0.0
9891.977,0.0,22989.801,13097.824,0.0,0.0,56.97232437984131,0.0,0.0
10426.775,0.0,22824.406,12397.631,0.0,0.0,54.317431086706044,0.0,0.0
10529.917,0.0,22659.012,12129.096,0.0,0.0,53.52879227352047,0.0,0.0
6806.3092,0.0,22493.618,15687.309,0.0,0.0,69.74115440440792,0.0,0.0
4560.7846,0.0,22328.224,17767.439,0.0,0.0,79.57390304887488,0.0,0.0
8207.1451,0.0,22162.829,13955.684,0.0,0.0,62.96887431216983,0.0,0.0
7823.1963,0.0,21997.435,14174.239,0.0,0.0,64.43587084899848,0.0,0.0
7244.7749,0.0,21832.041,14587.266,0.0,0.0,66.81586053642836,0.0,0.0
7521.9422,0.0,21666.647,14144.705,0.0,0.0,65.28331250069922,0.0,0.0
7568.7412,0.0,21501.252,13932.511,0.0,0.0,64.79860275300616,0.0,0.0
7459.6895,0.0,21335.858,13876.169,0.0,0.0,65.03684395919666,0.0,0.0
6656.3523,0.0,21170.464,14514.112,0.0,0.0,68.5583074340037,0.0,0.0
7192.06,0.0,21087.767,13895.707,0.0,0.0,65.89463455281917,0.0,0.0
7677.7865,0.0,21005.07,13327.283,0.0,0.0,63.44793574713,0.0,0.0
6669.5268,0.0,20922.373,14252.846,0.0,0.0,68.12251237584296,0.0,0.0
0.0,10115.69,20839.676,31805.366,850.0,0.0,100.0,0.0,1213.8828
0.0,20076.962,20756.978,41683.94,850.0,0.0,100.0,0.0,2409.23544
0.0,8363.6203,20674.281,29887.902,850.0,0.0,100.0,0.0,1003.634436
0.0,0.0,20591.584,20658.175,66.591007,0.0,100.0,0.0,0.0
3181.2832,0.0,20508.887,17327.604,0.0,0.0,84.48827004129215,0.0,0.0
3871.9329,0.0,20426.19,16554.257,0.0,0.0,81.04427248079192,0.0,0.0
0.0,8446.7742,20343.493,29640.267,850.0,0.0,100.0,0.0,1013.612904
7083.9106,0.0,20260.796,13176.885,0.0,0.0,65.03636510700498,0.0,0.0
2086.6897,0.0,20178.099,18091.409,0.0,0.0,89.65864063297501,0.0,0.0
5182.3522,0.0,20508.887,15326.535,0.0,0.0,74.73118775552093,0.0,0.0
9224.9329,0.0,20839.676,11614.743,0.0,0.0,55.73379862399875,0.0,0.0
10489.008,0.0,21170.464,10681.456,0.0,0.0,50.45452003319342,0.0,0.0
9429.8627,0.0,21501.252,12071.39,0.0,0.0,56.14272883737607,0.0,0.0
13060.325,0.0,21832.041,8771.7161,0.0,0.0,40.178176927305245,0.0,0.0
15154.544,0.0,22162.829,7008.2853,0.0,0.0,31.621798846774496,0.0,0.0
14311.429,0.0,22493.618,8470.0108,287.82218,0.0,37.17943586691128,0.0,0.0
14310.639,0.0,22824.406,9363.7671,850.0,0.0,39.552278779234086,0.0,0.0
14060.736,0.0,23155.195,9944.4588,850.0,0.0,41.42627828206585,0.0,0.0
10045.424,0.0,23485.984,14290.559,850.0,0.0,58.721930402400424,0.0,0.0
14323.372,0.0,23816.772,10343.4,850.0,0.0,41.93252363949365,0.0,0.0
13862.638,0.0,24147.56,11134.922,850.0,0.0,44.54403549786459,0.0,0.0
13780.55,0.0,24368.086,11437.536,850.0,0.0,45.35449676870799,0.0,0.0
18378.982,0.0,24588.612,7059.6298,850.0,0.0,27.75163147856991,0.0,0.0
16615.251,0.0,24809.137,9043.8869,850.0,0.0,35.246261722612275,0.0,0.0
19247.146,0.0,25029.663,6632.5169,850.0,0.0,25.628297113560933,0.0,0.0
18268.575,0.0,25250.189,7831.6135,850.0,0.0,30.005965282587905,0.0,0.0
19859.043,0.0,25470.714,6461.6718,850.0,0.0,24.549758048364247,0.0,0.0
21295.022,0.0,25691.24,5246.2178,850.0,0.0,19.766287632124854,0.0,0.0
21049.813,0.0,25911.766,5711.9525,850.0,0.0,21.343705817913996,0.0,0.0
22254.97,0.0,26132.291,4727.3211,850.0,0.0,17.520087832719287,0.0,0.0
15751.65,0.0,26352.817,11451.167,850.0,0.0,42.095519004520746,0.0,0.0
16054.872,0.0,26573.343,11368.471,850.0,0.0,41.455452750600095,0.0,0.0
17876.356,0.0,26793.869,8101.5124,0.0,816.0,30.23644170768563,3.0454728963287736,0.0
23801.972,0.0,26931.697,2313.7247,0.0,816.0,8.591084051529513,3.029887084685608,0.0
22406.466,0.0,27069.526,3847.0597,0.0,816.0,14.211773573853199,3.0144599098018183,0.0
21090.157,0.0,27207.354,5301.1972,0.0,816.0,19.484427486153724,2.9991890942486426,0.0
24236.314,0.0,27345.183,2292.8689,0.0,816.0,8.384909723898756,2.984072196496444,0.0
25589.642,0.0,27483.011,1077.3694,0.0,816.0,3.9201286362672763,2.969106944372188,0.0
26517.207,0.0,27620.84,287.63323,0.0,816.0,1.0413630708003991,2.9542910107191913,0.0
26804.025,0.0,27758.668,138.64355,0.0,816.0,0.4994603748745002,2.939622260809047,0.0
27079.396,0.0,27896.497,1.1007697,0.0,816.0,0.0039459065741746105,2.925098469304235,0.0
27218.325,0.0,28034.325,0.0,0.0,816.0,0.0,2.910717486509841,0.0
27356.154,0.0,28172.154,1.7599774999999998e-19,0.0,816.0,6.247223765708507e-22,2.896477138382816,0.0
27493.982,0.0,28309.982,1.7600228999999998e-19,0.0,816.0,6.216969336116144e-22,2.8823755521992207,0.0
27631.811,0.0,28447.811,0.0,0.0,816.0,0.0,2.868410507929766,0.0
27659.377,0.0,28475.377,0.0,0.0,816.0,0.0,2.8656337017065656,0.0
