Import Power [kW],Export Power [kW],Load Power [kW],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],PV/Import Power (%),Battery Utilization Rate (%),Profit surplus energy - [USD]
5965.6104,0.0,6781.6104,0.0,0.0,816.0,0.0,12.032540235575905,0.0
5918.5159,0.0,6734.5159,0.0,0.0,816.0,0.0,12.116683843600399,0.0
5871.4214,0.0,6687.4214,0.0,0.0,816.0,0.0,12.202012572439354,0.0
5824.3269,0.0,6640.3268,0.0,0.0,816.0,0.0,12.28855163742014,0.0
5777.2323,0.0,6593.2323,0.0,0.0,816.0,0.0,12.376327162020365,0.0
5730.1378,0.0,6546.1378,0.0,0.0,816.0,0.0,12.465365455643171,0.0
5683.0433,0.0,6499.0433,0.0,0.0,816.0,0.0,12.555694158861813,0.0
5635.9488,0.0,6451.9488,0.0,0.0,816.0,0.0,12.647341528810644,0.0
5588.8543,0.0,6404.8543,0.0,0.0,816.0,0.0,12.740336653715916,0.0
5541.7598,0.0,6357.7597,0.0,0.0,816.0,0.0,12.83470948367694,0.0
5494.6652,0.0,6310.6652,0.0,0.0,816.0,0.0,12.930491067724523,0.0
5447.5707,0.0,6263.5707,0.0,0.0,816.0,0.0,13.027712770927929,0.0
5400.4762,0.0,6216.4762,0.0,0.0,816.0,0.0,13.126407529719167,0.0
5165.0036,0.0,5981.0036,0.0,0.0,816.0,0.0,13.64319526575774,0.0
4929.531,0.0,5745.531,0.0,0.0,816.0,0.0,14.202342655535233,0.0
4694.0584,0.0,5510.0585,0.0,0.0,816.0,0.0,14.809280424323635,0.0
4458.5859,0.0,5274.5859,0.0,0.0,816.0,0.0,15.470408776544902,0.0
4223.1133,0.0,5039.1133,0.0,0.0,816.0,0.0,16.193325123291036,0.0
3987.6407,0.0,4803.6407,0.0,0.0,816.0,0.0,16.98711562669539,0.0
3752.1681,0.0,4568.1681,0.0,0.0,816.0,0.0,17.86274020870642,0.0
3516.6955,0.0,4332.6955,0.0,0.0,816.0,0.0,18.83354138318744,0.0
3281.2229,0.0,4097.2229,0.0,0.0,816.0,0.0,19.915928908822604,0.0
3045.7504,0.0,3861.7504,0.0,0.0,816.0,0.0,21.130314377645952,0.0
2810.2778,0.0,3626.2778,0.0,0.0,816.0,0.0,22.50241280466709,0.0
2574.8052,0.0,3390.8052,0.0,0.0,816.0,0.0,24.06508047115181,0.0
2433.5216,0.0,3249.5216,0.0,0.0,816.0,0.0,25.11138870410955,0.0
2292.2381,0.0,3108.2381,0.0,0.0,816.0,0.0,26.252815059438333,0.0
2150.9545,0.0,2966.9545,0.0,0.0,816.0,0.0,27.502949573375663,0.0
2009.671,0.0,2825.671,0.0,0.0,816.0,0.0,28.878096565382165,0.0
1868.3874,0.0,2684.3874,0.0,0.0,816.0,0.0,30.39799695081269,0.0
1727.1039,0.0,2543.1039,0.0,0.0,816.0,0.0,32.08677396153574,0.0
1585.8203,0.0,2401.8203,0.0,0.0,816.0,0.0,33.97423196065084,0.0
1444.5368,0.0,2260.5368,0.0,0.0,816.0,0.0,36.09762070672771,0.0
1303.2532,0.0,2119.2532,0.0,0.0,816.0,0.0,38.50412966227915,0.0
1161.9697,0.0,1977.9697,0.0,0.0,816.0,0.0,41.25442366483167,0.0
1020.6861,0.0,1836.6861,0.0,0.0,816.0,0.0,44.42784207927528,0.0
879.4026,0.0,1695.4026,0.0,0.0,816.0,0.0,48.13016094230362,0.0
738.11905,0.0,1554.1191,0.0,0.0,816.0,0.0,52.50563011887667,0.0
596.8355,0.0,1412.8355,0.0,0.0,816.0,0.0,57.75619313076433,0.0
455.55195,0.0,1271.5519,0.0,0.0,816.0,0.0,64.17354792307148,0.0
314.2684,0.0,1130.2684,0.0,0.0,816.0,0.0,72.19524141345542,0.0
172.98485,0.0,988.98485,0.0,0.0,816.0,0.0,82.50884732966334,0.0
31.7013,0.0,847.7013,0.0,0.0,816.0,0.0,96.26032188460724,0.0
0.0,0.0,706.41775,0.0,0.0,706.41775,0.0,100.0,0.0
