Import Power [kW],Export Power [kW],Load Power [kW],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],PV/Import Power (%),Battery Utilization Rate (%),Profit surplus energy - [USD]
1823.652,0.0,2639.652,0.0,0.0,816.0,0.0,30.913165826404388,0.0
1805.3211,0.0,2621.3211,4.3543457e-19,0.0,816.0,1.6611264068335617e-20,31.129341613280413,0.0
1786.9902,0.0,2602.9902,0.0,0.0,816.0,0.0,31.348562126741776,0.0
1768.6592,0.0,2584.6592,0.0,0.0,816.0,0.0,31.570893369617163,0.0
1750.3283,0.0,2566.3283,0.0,0.0,816.0,0.0,31.796399548724924,0.0
1731.9974,0.0,2547.9974,0.0,0.0,816.0,0.0,32.02515041812837,0.0
1713.6665,0.0,2529.6665,0.0,0.0,816.0,0.0,32.257216514508926,0.0
1695.3356,0.0,2511.3356,0.0,0.0,816.0,0.0,32.49267043401128,0.0
1677.0047,0.0,2493.0047,0.0,0.0,816.0,0.0,32.7315869079589,0.0
1658.6737,0.0,2474.6737,2.9030968999999997e-19,0.0,816.0,1.1731231070989275e-20,32.97404421439481,0.0
1640.3428,0.0,2456.3428,0.0,0.0,816.0,0.0,33.22011895082397,0.0
1622.0119,0.0,2438.0119,0.0,0.0,816.0,0.0,33.46989405589038,0.0
1603.681,0.0,2419.681,0.0,0.0,816.0,0.0,33.72345362880479,0.0
1512.0264,0.0,2328.0264,5.8066434e-19,0.0,816.0,2.4942343437342466e-20,35.05114890449696,0.0
1420.3718,0.0,2236.3718,0.0,0.0,816.0,0.0,36.48767168321475,0.0
1328.7172,0.0,2144.7172,5.8070929e-19,0.0,816.0,2.7076263947526506e-20,38.04697421179818,0.0
1237.0627,0.0,2053.0627,0.0,0.0,816.0,0.0,39.745498274358596,0.0
1145.4081,0.0,1961.4081,7.258491499999999e-19,0.0,816.0,3.700653372441971e-20,41.60276487080888,0.0
1053.7535,0.0,1869.7535,1.3064835e-18,0.0,816.0,6.987463855529619e-20,43.64211646080619,0.0
962.09892,0.0,1778.0989,0.0,0.0,816.0,0.0,45.89171000677511,0.0
870.44433,0.0,1686.4443,0.0,0.0,816.0,0.0,48.38582486740016,0.0
778.78975,0.0,1594.7897,2.9032468e-19,0.0,816.0,1.8204573988514785e-20,51.166619298876235,0.0
687.13517,0.0,1503.1352,0.0,0.0,816.0,0.0,54.28653498939819,0.0
595.48058,0.0,1411.4806,0.0,0.0,816.0,0.0,57.81163492876396,0.0
503.826,0.0,1319.826,0.0,0.0,816.0,0.0,61.826331652808776,0.0
448.83325,0.0,1264.8332,0.0,0.0,816.0,0.0,64.51443302901785,0.0
393.8405,0.0,1209.8405,0.0,0.0,816.0,0.0,67.44690725760958,0.0
338.84775,0.0,1154.8477,0.0,0.0,816.0,0.0,70.65866474606717,0.0
283.855,0.0,1099.855,0.0,0.0,816.0,0.0,74.19159798337054,0.0
228.86225,0.0,1044.8622,0.0,0.0,816.0,0.0,78.09641892986373,0.0
173.8695,0.0,989.8695,0.0,0.0,816.0,0.0,82.4351088704117,0.0
118.87675,0.0,934.87675,0.0,0.0,816.0,0.0,87.28423292161239,0.0
63.884,0.0,879.884,0.0,0.0,816.0,0.0,92.73949747921316,0.0
8.89125,0.0,824.89125,0.0,0.0,816.0,0.0,98.92213064449405,0.0
0.0,0.0,769.8985,7.257892099999999e-19,0.0,769.8985,9.427076556195393e-20,100.0,0.0
0.0,0.0,714.90575,0.0,0.0,714.90575,0.0,100.0,0.0
0.0,0.0,659.913,0.0,0.0,659.913,0.0,100.0,0.0
