Hora,P_base [kW],P_VE [kW],P_DER [kW],P_carga [kW]
2025-01-01 00:00:00,734159.6747239978,7285.1628,0.0,741444.8375239979
2025-01-01 00:05:00,727604.6776282479,7234.5714,0.0,734839.2490282479
2025-01-01 00:10:00,721049.6805324978,7183.98,0.0,728233.6605324978
2025-01-01 00:15:00,714494.6834367479,7133.3886,0.0,721628.0720367478
2025-01-01 00:20:00,707939.6863409979,7082.7972,0.0,715022.483540998
2025-01-01 00:25:00,701384.6892452479,7032.2058,0.0,708416.8950452479
2025-01-01 00:30:00,694829.6921494979,6981.6143,0.0,701811.3064494979
2025-01-01 00:35:00,688274.695053748,6931.0229,0.0,695205.717953748
2025-01-01 00:40:00,681719.6979579979,6880.4315,0.0,688600.1294579979
2025-01-01 00:45:00,675164.700862248,6829.8401,0.0,681994.540962248
2025-01-01 00:50:00,668609.703766498,6779.2487,0.0,675388.952466498
2025-01-01 00:55:00,662054.706670748,6728.6573,0.0,668783.3639707479
2025-01-01 01:00:00,655499.709574998,6678.0659,0.0,662177.775474998
2025-01-01 01:05:00,654407.2100590396,6425.1089,0.0,660832.3189590396
2025-01-01 01:10:00,653314.7105430814,6172.1518,0.0,659486.8623430814
2025-01-01 01:15:00,652222.211027123,5919.1948,0.0,658141.4058271231
2025-01-01 01:20:00,651129.7115111647,5666.2377,0.0,656795.9492111647
2025-01-01 01:25:00,650037.2119952064,5413.2807,0.0,655450.4926952064
2025-01-01 01:30:00,648944.7124792481,5160.3237,0.0,654105.036179248
2025-01-01 01:35:00,647852.2129632897,4907.3666,0.0,652759.5795632896
2025-01-01 01:40:00,646759.7134473313,4654.4096,0.0,651414.1230473313
2025-01-01 01:45:00,645667.213931373,4401.4525,0.0,650068.666431373
2025-01-01 01:50:00,644574.7144154147,4148.4955,0.0,648723.2099154147
2025-01-01 01:55:00,643482.2148994564,3895.5384,0.0,647377.7532994563
2025-01-01 02:00:00,642389.715383498,3642.5814,0.0,646032.296783498
2025-01-01 02:05:00,641297.2158675396,3490.8072,0.0,644788.0230675397
2025-01-01 02:10:00,640204.7163515814,3339.0329,0.0,643543.7492515814
2025-01-01 02:15:00,639112.216835623,3187.2587,0.0,642299.475535623
2025-01-01 02:20:00,638019.7173196647,3035.4845,0.0,641055.2018196647
2025-01-01 02:25:00,636927.2178037064,2883.7103,0.0,639810.9281037065
2025-01-01 02:30:00,635834.718287748,2731.9361,0.0,638566.6543877481
2025-01-01 02:35:00,634742.2187717897,2580.1618,0.0,637322.3805717897
