,Year,PV Cost [$],Energy Cost [$]
0,2025,0.0,0.0
1,2026,0.0,5.34
2,2027,0.0,94.65
3,2028,0.0,208.09
4,2029,0.0,439.47
5,2030,0.0,735.87
6,2031,0.0,1040.5
7,2032,0.0,1696.71
8,2033,0.0,2046.02
9,2034,0.0,2416.38
10,2035,206.32,3155.48
11,2036,1112.09,3908.99
12,2037,3744.42,5727.46
13,2038,6390.14,8027.32
14,2039,7803.61,9511.33
15,2040,12973.69,14302.73
16,2041,18242.36,19387.56
17,2042,23501.65,24550.54
18,2043,28689.17,29700.88
19,2044,33822.95,34842.81
20,2045,38895.72,39959.92
21,2046,45214.41,46296.91
22,2047,51484.85,52615.62
23,2048,57570.95,58788.32
24,2049,64950.42,66234.78
25,2050,69246.53,70762.26
26,2051,73307.76,75105.43
27,2052,77891.1,79994.12
28,2053,86397.74,88693.66
29,2054,90188.59,92935.2
30,2055,96298.77,99476.5
