Hora,P_carga [kW],FC red
2025-01-01 00:00:00,895618.3692160374,6.8893720708925965
2025-01-01 00:05:00,887636.23133018,6.827971010232154
2025-01-01 00:10:00,879654.0934443224,6.766569949571711
2025-01-01 00:15:00,871671.9555584649,6.7051688889112695
2025-01-01 00:20:00,863689.8176726075,6.6437678282508275
2025-01-01 00:25:00,855707.67978675,6.582366767590385
2025-01-01 00:30:00,847725.5418008924,6.520965706160712
2025-01-01 00:35:00,839743.403915035,6.4595646455002695
2025-01-01 00:40:00,831761.2660291775,6.398163584839827
2025-01-01 00:45:00,823779.1281433201,6.3367625241793855
2025-01-01 00:50:00,815796.9902574625,6.275361463518943
2025-01-01 00:55:00,807814.852371605,6.2139604028585005
2025-01-01 01:00:00,799832.7144857476,6.152559342198059
2025-01-01 01:05:00,798257.833071438,6.140444869780293
2025-01-01 01:10:00,796682.9515571285,6.128330396593297
2025-01-01 01:15:00,795108.0701428188,6.11621592417553
2025-01-01 01:20:00,793533.1886285093,6.104101450988534
2025-01-01 01:25:00,791958.3072141997,6.091986978570767
2025-01-01 01:30:00,790383.4257998901,6.079872506153
2025-01-01 01:35:00,788808.5442855804,6.067758032966004
2025-01-01 01:40:00,787233.662871271,6.055643560548239
2025-01-01 01:45:00,785658.7813569613,6.043529087361241
2025-01-01 01:50:00,784083.8999426517,6.0314146149434755
2025-01-01 01:55:00,782509.0184283422,6.019300141756479
2025-01-01 02:00:00,780934.1370140327,6.007185669338713
2025-01-01 02:05:00,779460.438399723,5.995849526151716
2025-01-01 02:10:00,777986.7396854134,5.984513382195488
2025-01-01 02:15:00,776513.0410711039,5.973177239008492
2025-01-01 02:20:00,775039.3424567942,5.9618410958214945
2025-01-01 02:25:00,773565.6438424848,5.950504952634499
2025-01-01 02:30:00,772091.9452281751,5.9391688094475015
2025-01-01 02:35:00,770618.2465138655,5.927832665491274
2025-01-01 02:40:00,769144.547899556,5.916496522304278
2025-01-01 02:45:00,767670.8492852465,5.905160379117281
2025-01-01 02:50:00,766197.1505709367,5.893824235161052
2025-01-01 02:55:00,764723.4519566273,5.882488091974057
2025-01-01 03:00:00,763249.7533423177,5.871151948787059
2025-01-01 03:05:00,769707.6012138656,5.92082770164512
2025-01-01 03:10:00,776165.4489854134,5.970503453733949
2025-01-01 03:15:00,782623.2968569613,6.020179206592011
2025-01-01 03:20:00,789081.1447285092,6.069854959450071
2025-01-01 03:25:00,795538.9926000572,6.119530712308133
2025-01-01 03:30:00,801996.840421605,6.1692064647815785
2025-01-01 03:35:00,808454.6882731529,6.218882217485793
2025-01-01 03:40:00,814912.5361147008,6.2685579701130845
2025-01-01 03:45:00,821370.3839662488,6.3182337228173
2025-01-01 03:50:00,827828.2318077968,6.367909475444591
2025-01-01 03:55:00,834286.0796593446,6.4175852281488055
2025-01-01 04:00:00,840743.9275008924,6.4672609807760955
2025-01-01 04:05:00,860110.9232412267,6.616237871086359
2025-01-01 04:10:00,879477.9190015607,6.7652147615504665
2025-01-01 04:15:00,898844.9147018949,6.914191651553038
2025-01-01 04:20:00,918211.9105022288,7.063168542324838
2025-01-01 04:25:00,937578.906202563,7.212145432327408
2025-01-01 04:30:00,956945.9020028972,7.36112232309921
2025-01-01 04:35:00,976312.8977032312,7.510099213101779
2025-01-01 04:40:00,995679.8934035654,7.65907610310435
2025-01-01 04:45:00,1015046.8892038994,7.80805299387615
2025-01-01 04:50:00,1034413.8849042336,7.957029883878721
2025-01-01 04:55:00,1053780.8807045675,8.106006774650519
2025-01-01 05:00:00,1073147.876104902,8.254983662345401
2025-01-01 05:05:00,1078081.43416214,8.292934108939537
2025-01-01 05:10:00,1083014.9920193786,8.33088455399522
2025-01-01 05:15:00,1087948.5497766167,8.368834998281669
2025-01-01 05:20:00,1092882.107633855,8.406785443337347
2025-01-01 05:25:00,1097815.6653910934,8.444735887623795
2025-01-01 05:30:00,1102749.2232483316,8.482686332679474
2025-01-01 05:35:00,1107682.78100557,8.520636776965922
2025-01-01 05:40:00,1112616.338762808,8.558587221252369
2025-01-01 05:45:00,1117549.8966200466,8.596537666308052
2025-01-01 05:50:00,1122483.4543772852,8.634488110594502
2025-01-01 05:55:00,1127417.0122345234,8.67243855565018
2025-01-01 06:00:00,1132350.5699917616,8.710388999936628
2025-01-01 06:05:00,1134070.6778917615,8.723620599167397
2025-01-01 06:10:00,1135790.7857917617,8.736852198398168
2025-01-01 06:15:00,1137510.8939917616,8.750083799936629
2025-01-01 06:20:00,1139231.0019917616,8.763315399936628
2025-01-01 06:25:00,1140951.1089917617,8.77654699224432
2025-01-01 06:30:00,1142671.2169917617,8.789778592244321
2025-01-01 06:35:00,1144391.3249917617,8.803010192244322
2025-01-01 06:40:00,1146111.4329917617,8.816241792244321
2025-01-01 06:45:00,1147831.5409917615,8.829473392244319
2025-01-01 06:50:00,1149551.6489917615,8.84270499224432
2025-01-01 06:55:00,1151271.7569917615,8.85593659224432
2025-01-01 07:00:00,1152991.8649917615,8.86916819224432
2025-01-01 07:05:00,1160815.6800633094,8.92935138510238
2025-01-01 07:10:00,1168639.4961348574,8.98953458565275
2025-01-01 07:15:00,1176463.312206405,9.049717786203116
2025-01-01 07:20:00,1184287.1282779532,9.109900986753487
2025-01-01 07:25:00,1192110.944349501,9.170084187303855
2025-01-01 07:30:00,1199934.759421049,9.230267380161916
2025-01-01 07:35:00,1207758.575492597,9.290450580712285
2025-01-01 07:40:00,1215582.3915641448,9.350633781262653
2025-01-01 07:45:00,1223406.2076356926,9.410816981813019
2025-01-01 07:50:00,1231230.0237072406,9.471000182363388
2025-01-01 07:55:00,1239053.8387787885,9.53118337522145
2025-01-01 08:00:00,1246877.6548503365,9.59136657577182
2025-01-01 08:05:00,1252974.8155075745,9.638267811596727
2025-01-01 08:10:00,1259071.975164813,9.685169039729331
2025-01-01 08:15:00,1265169.1358220512,9.732070275554241
2025-01-01 08:20:00,1271266.2954792895,9.778971503686842
2025-01-01 08:25:00,1277363.456136528,9.825872739511754
2025-01-01 08:30:00,1283460.6157937662,9.872773967644356
2025-01-01 08:35:00,1289557.776451005,9.919675203469268
2025-01-01 08:40:00,1295654.9361082432,9.96657643160187
2025-01-01 08:45:00,1301752.0967654814,10.01347766742678
2025-01-01 08:50:00,1307849.2574227196,10.06037890325169
2025-01-01 08:55:00,1313946.417079958,10.107280131384291
2025-01-01 09:00:00,1320043.577737196,10.154181367209201
2025-01-01 09:05:00,1323142.7485658154,10.178021142813966
2025-01-01 09:10:00,1326241.9203944344,10.201860926111033
2025-01-01 09:15:00,1329341.0922230538,10.225700709408107
2025-01-01 09:20:00,1332440.2630516726,10.249540485012867
2025-01-01 09:25:00,1335539.434880292,10.273380268309939
2025-01-01 09:30:00,1338638.6067089112,10.29722005160701
2025-01-01 09:35:00,1341737.7775375303,10.321059827211771
2025-01-01 09:40:00,1344836.9493661493,10.34489961050884
2025-01-01 09:45:00,1347936.1211947685,10.368739393805912
2025-01-01 09:50:00,1351035.2920233875,10.392579169410674
2025-01-01 09:55:00,1354134.4638520067,10.416418952707746
2025-01-01 10:00:00,1357233.635680626,10.440258736004816
2025-01-01 10:05:00,1360231.6245092452,10.463320188532656
2025-01-01 10:10:00,1363229.6123378642,10.486381633368186
2025-01-01 10:15:00,1366227.6011664837,10.509443085896027
2025-01-01 10:20:00,1369225.5899951027,10.532504538423867
2025-01-01 10:25:00,1372223.5788237215,10.555565990951704
2025-01-01 10:30:00,1375221.567652341,10.578627443479547
2025-01-01 10:35:00,1378219.55648096,10.601688896007387
2025-01-01 10:40:00,1381217.5453095792,10.624750348535226
2025-01-01 10:45:00,1384215.5331381983,10.647811793370757
2025-01-01 10:50:00,1387213.5219668176,10.670873245898596
2025-01-01 10:55:00,1390211.5107954368,10.693934698426437
2025-01-01 11:00:00,1393209.4996240558,10.716996150954275
2025-01-01 11:05:00,1387011.1569668176,10.669316592052443
2025-01-01 11:10:00,1380812.8133095792,10.621637025458302
2025-01-01 11:15:00,1374614.470652341,10.573957466556468
2025-01-01 11:20:00,1368416.127995103,10.526277907654638
2025-01-01 11:25:00,1362217.7843378645,10.478598341060495
2025-01-01 11:30:00,1356019.441680626,10.430918782158663
2025-01-01 11:35:00,1349821.0990233875,10.383239223256828
2025-01-01 11:40:00,1343622.7553661494,10.335559656662687
