,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1,1,1,19,2,1,21,4,3,2,2,2,0,0.1,28.25,5,800,6500,75000,1085.0,6785.0,75285.0,907.0,6607.0,75107.0
2,2027,2,1,1,79,9,2,31,5,4,8,15,15,0,0.1,28.25,5,834,6500,75000,2903.0,8569.0,77069.0,1614.0,7281.0,75781.0
3,2028,5,1,1,89,23,6,57,9,7,7,31,31,0,0.1,28.25,5,926,6500,75000,6351.0,11925.0,80425.0,2974.0,8550.0,77050.0
4,2029,11,1,1,93,49,14,88,13,12,6,63,63,0,0.1,28.25,5,1093,6500,75000,12795.0,18202.0,86702.0,5518.0,10927.0,79427.0
5,2030,19,1,1,100,85,27,123,17,17,5,95,95,0,0.1,28.25,5,1297,6500,75000,21703.0,26907.0,95407.0,9021.0,14227.0,82727.0
6,2031,31,2,1,99,68,44,198,26,28,5,64,127,0,0.2,28.25,5,1628,6724,75000,34758.0,39856.0,108132.0,14182.0,19281.0,87557.0
7,2032,49,3,1,99,72,70,312,41,43,4,65,193,0,0.30000000000000004,28.25,5,2095,6935,75000,53532.0,58374.0,126439.0,21610.0,26453.0,94518.0
8,2033,70,4,2,99,77,51,447,59,62,4,57,114,0,0.4,28.5,10,2607,7133,77283,74352.0,78880.0,149030.0,29846.0,34376.0,104526.0
9,2034,94,5,2,100,82,68,603,79,84,3,53,132,0,0.5,28.5,10,3157,7319,77283,97056.0,101221.0,171185.0,38825.0,42992.0,112956.0
10,2035,124,6,2,100,91,91,799,104,112,3,56,166,0,0.6000000000000001,28.5,10,4125,8368,77283,124299.0,128544.0,197460.0,49792.0,54040.0,122955.0
11,2036,161,8,3,100,88,79,1035,134,145,3,50,133,0,0.8,28.75,15,4874,8697,79179,154899.0,158725.0,229208.0,61908.0,65737.0,136218.0
12,2037,207,10,4,100,91,76,1334,173,187,3,51,127,0,1.0,29.0,20,5749,9006,80961,193683.0,196944.0,268899.0,77232.0,80496.0,152450.0
13,2038,263,12,4,100,96,97,1696,219,238,3,51,153,0,1.2000000000000002,29.0,20,6750,9297,80961,239589.0,242140.0,313805.0,95360.0,97915.0,169578.0
14,2039,326,15,5,100,95,96,2102,271,295,3,46,137,0,1.5,29.25,25,7808,9707,82535,288878.0,290781.0,363610.0,114820.0,116727.0,189554.0
15,2040,406,18,6,100,98,100,2614,337,367,3,48,144,0,1.8,29.5,30,9070,10092,84014,349929.0,350954.0,424877.0,138947.0,139976.0,213898.0
16,2041,502,22,8,100,100,93,3234,417,455,3,48,131,0,2.2,30.0,40,10494,10574,86794,421416.0,421500.0,497720.0,167206.0,167294.0,243514.0
17,2042,615,27,10,100,99,91,3965,511,557,3,46,124,0,2.7,30.5,50,12069,11141,89407,502289.0,501364.0,579631.0,199198.0,198278.0,276544.0
18,2043,746,33,11,100,99,100,4807,620,675,2,44,130,0,3.3000000000000003,30.75,55,13785,11780,90635,591436.0,589434.0,668290.0,234492.0,232495.0,311350.0
19,2044,894,39,14,100,100,94,5764,745,807,2,42,116,0,3.9000000000000004,31.5,70,15607,12380,94097,688062.0,684839.0,766556.0,272735.0,269516.0,351233.0
20,2045,1061,47,16,100,99,97,6836,885,955,2,39,114,0,4.7,32.0,80,18505,16892,107111,792545.0,790936.0,881155.0,314644.0,313038.0,403257.0
21,2046,1249,55,19,100,100,96,8048,1043,1123,2,38,108,0,5.5,32.75,95,20549,17599,110169,904328.0,901382.0,993952.0,358795.0,355851.0,448421.0
22,2047,1459,64,22,100,100,97,9402,1219,1311,2,36,104,0,6.4,33.5,110,22695,18347,113043,1023595.0,1019251.0,1113947.0,405804.0,401461.0,496158.0
23,2048,1691,75,25,100,99,99,14534,1887,2024,2,34,102,0,7.5,34.25,125,24923,19206,115744,1149649.0,1143936.0,1240474.0,455357.0,449644.0,546184.0
24,2049,1950,86,29,100,100,98,16758,2177,2331,2,33,98,0,8.6,35.25,145,27261,20013,119129,1284398.0,1277154.0,1376270.0,508109.0,500865.0,599983.0
25,2050,2229,98,33,100,100,99,19152,2490,2662,2,31,92,0,9.8,36.25,165,29628,20841,122310,1422856.0,1414073.0,1515543.0,562129.0,553345.0,654817.0
26,2051,2527,111,37,100,100,100,21719,2825,3018,2,30,88,0,11.100000000000001,37.25,185,34502,22569,128443,1713975.0,1702046.0,1807921.0,675257.0,663327.0,769205.0
27,2052,2848,126,42,100,100,99,24479,3186,3399,2,28,84,0,12.600000000000001,38.5,210,39574,24495,135850,2022266.0,2007190.0,2118546.0,794556.0,779480.0,890838.0
28,2053,3202,141,47,100,100,99,27521,3582,3822,2,28,82,0,14.100000000000001,39.75,235,44979,26356,143007,2360897.0,2342277.0,2458929.0,947011.0,928392.0,1045045.0
29,2054,3579,158,53,100,100,99,30761,4000,4275,2,26,78,0,15.8,41.25,265,50540,28394,151304,2716419.0,2694276.0,2817188.0,1136338.0,1114195.0,1237108.0
30,2055,3986,175,58,100,100,100,42820,5564,5955,2,26,77,0,17.5,42.5,290,59241,40205,191386,3100971.0,3081939.0,3233121.0,1377336.0,1358304.0,1509487.0
