Hora,P_carga [kW],FC red,S max need
2025-01-01 00:00:00,145845.29856560015,1.1218869120430783,129640.26539164459
2025-01-01 00:05:00,144544.29038555015,1.1118791568119244,128483.81367604458
2025-01-01 00:10:00,143243.28220550017,1.1018714015807707,127327.3619604446
2025-01-01 00:15:00,141942.27402545014,1.0918636463496165,126170.91024484458
2025-01-01 00:20:00,140641.26584540014,1.0818558911184626,125014.45852924457
2025-01-01 00:25:00,139340.25766535013,1.0718481358873089,123858.00681364458
2025-01-01 00:30:00,138039.24948530016,1.0618403806561552,122701.5550980446
2025-01-01 00:35:00,136738.24130525012,1.051832625425001,121545.10338244455
2025-01-01 00:40:00,135437.23312520015,1.0418248701938473,120388.65166684457
2025-01-01 00:45:00,134136.2249451501,1.0318171149626931,119232.19995124455
2025-01-01 00:50:00,132835.21676510014,1.0218093597315396,118075.74823564457
2025-01-01 00:55:00,131534.20858505013,1.0118016045003857,116919.29652004458
2025-01-01 01:00:00,130233.20040500013,1.0017938492692318,115762.84480444455
2025-01-01 01:05:00,129996.37044999178,0.9999720803845522,115552.32928888159
2025-01-01 01:10:00,129759.54049498343,0.9981503114998727,115341.81377331862
2025-01-01 01:15:00,129522.71053997512,0.9963285426151932,115131.29825775567
2025-01-01 01:20:00,129285.88058496676,0.9945067737305135,114920.78274219268
2025-01-01 01:25:00,129049.05062995844,0.9926850048458341,114710.26722662972
2025-01-01 01:30:00,128812.22067495012,0.9908632359611549,114499.75171106678
2025-01-01 01:35:00,128575.3907199418,0.9890414670764754,114289.23619550382
2025-01-01 01:40:00,128338.56076493346,0.9872196981917959,114078.72067994086
2025-01-01 01:45:00,128101.73080992512,0.9853979293071164,113868.2051643779
2025-01-01 01:50:00,127864.90085491678,0.9835761604224368,113657.6896488149
2025-01-01 01:55:00,127628.07089990846,0.9817543915377575,113447.17413325197
2025-01-01 02:00:00,127391.24094490011,0.9799326226530779,113236.658617689
2025-01-01 02:05:00,127162.68488989178,0.9781744991530138,113033.49767990381
2025-01-01 02:10:00,126934.12883488344,0.9764163756529496,112830.33674211861
2025-01-01 02:15:00,126705.57277987512,0.9746582521528856,112627.17580433344
2025-01-01 02:20:00,126477.01672486676,0.9729001286528213,112424.01486654824
2025-01-01 02:25:00,126248.46066985844,0.9711420051527573,112220.85392876307
2025-01-01 02:30:00,126019.90461485012,0.9693838816526933,112017.69299097788
2025-01-01 02:35:00,125791.34855984178,0.9676257581526292,111814.5320531927
2025-01-01 02:40:00,125562.79250483346,0.9658676346525652,111611.37111540753
2025-01-01 02:45:00,125334.23644982513,0.964109511152501,111408.21017762233
2025-01-01 02:50:00,125105.68039481678,0.9623513876524369,111205.04923983714
2025-01-01 02:55:00,124877.12433980843,0.9605932641523726,111001.88830205194
2025-01-01 03:00:00,124648.56828480012,0.9588351406523087,110798.72736426679
2025-01-01 03:05:00,125716.88345984176,0.9670529496910906,111748.34085319268
2025-01-01 03:10:00,126785.19863488345,0.9752707587298727,112697.95434211862
2025-01-01 03:15:00,127853.51380992512,0.9834885677686549,113647.56783104457
2025-01-01 03:20:00,128921.82898496678,0.9917063768074368,114597.18131997046
2025-01-01 03:25:00,129990.14416000844,0.9999241858462188,115546.79480889639
2025-01-01 03:30:00,131058.45933505012,1.008141994885001,116496.40829782235
2025-01-01 03:35:00,132126.77451009178,1.016359803923783,117446.02178674824
2025-01-01 03:40:00,133195.08968513343,1.0245776129625648,118395.63527567415
2025-01-01 03:45:00,134263.40486017513,1.0327954220013473,119345.24876460012
2025-01-01 03:50:00,135331.7200352168,1.0410132310401292,120294.86225352605
2025-01-01 03:55:00,136400.03521025844,1.049231040078911,121244.47574245195
2025-01-01 04:00:00,137468.35038530015,1.0574488491176934,122194.0892313779
2025-01-01 04:05:00,140564.7114054168,1.0812670108108986,124946.41013814828
2025-01-01 04:10:00,143661.07242553346,1.1050851725041038,127698.73104491865
2025-01-01 04:15:00,146757.43344565012,1.1289033341973087,130451.051951689
2025-01-01 04:20:00,149853.7944657668,1.152721495890514,133203.3728584594
2025-01-01 04:25:00,152950.15548588347,1.176539657583719,135955.69376522975
2025-01-01 04:30:00,156046.51650600016,1.2003578192769244,138708.01467200014
2025-01-01 04:35:00,159142.87752611682,1.2241759809701294,141460.33557877052
2025-01-01 04:40:00,162239.2385462335,1.2479941426633347,144212.6564855409
2025-01-01 04:45:00,165335.59956635014,1.2718123043565395,146964.97739231124
2025-01-01 04:50:00,168431.96058646686,1.295630466049745,149717.29829908165
2025-01-01 04:55:00,171528.3216065835,1.3194486277429498,152469.61920585198
2025-01-01 05:00:00,174624.68262670017,1.3432667894361554,155221.9401126224
2025-01-01 05:05:00,175460.3047967335,1.3496946522825655,155964.7153748742
2025-01-01 05:10:00,176295.92696676686,1.3561225151289757,156707.4906371261
2025-01-01 05:15:00,177131.54913680017,1.3625503779753858,157450.26589937793
2025-01-01 05:20:00,177967.1713068335,1.3689782408217963,158193.04116162978
2025-01-01 05:25:00,178802.79347686682,1.3754061036682064,158935.81642388162
2025-01-01 05:30:00,179638.41564690016,1.3818339665146167,159678.5916861335
2025-01-01 05:35:00,180474.0378169335,1.3882618293610272,160421.36694838534
2025-01-01 05:40:00,181309.65998696684,1.3946896922074372,161164.1422106372
2025-01-01 05:45:00,182144.62691769016,1.4011125147514627,161906.3350379468
2025-01-01 05:50:00,182970.34107103356,1.4074641620848738,162640.30317425207
2025-01-01 05:55:00,183796.55086706684,1.4138196220543602,163374.7118818372
2025-01-01 06:00:00,184588.67390010017,1.4199128761546167,164078.8212445335
2025-01-01 06:05:00,184475.92079710017,1.4190455445930783,163978.59626408905
2025-01-01 06:10:00,184656.61480710015,1.4204354985161551,164139.2131618668
2025-01-01 06:15:00,184612.4073771001,1.4200954413623088,164099.91766853345
2025-01-01 06:20:00,184840.60226710016,1.4218507866700012,164302.7575707557
2025-01-01 06:25:00,184936.23640710016,1.4225864339007708,164387.76569520016
2025-01-01 06:30:00,185084.09921710016,1.4237238401315397,164519.19930408904
2025-01-01 06:35:00,185315.19157710017,1.4255014736700011,164724.61473520013
2025-01-01 06:40:00,185287.64626710015,1.4252895866700013,164700.13001520015
2025-01-01 06:45:00,184085.83026710016,1.4160448482084629,163631.84912631125
2025-01-01 06:50:00,184236.14476710017,1.4172011135930782,163765.46201520014
2025-01-01 06:55:00,184397.33326710016,1.4184410251315396,163908.7406818668
2025-01-01 07:00:00,183384.81156710017,1.4106523966700015,163008.72139297795
2025-01-01 07:05:00,184454.32899214185,1.4188794537857066,163959.40354857052
2025-01-01 07:10:00,185786.9146171835,1.4291301124398732,165143.9241041631
2025-01-01 07:15:00,186767.75204222515,1.4366750157094241,166015.779593089
2025-01-01 07:20:00,190000.57556726685,1.4615428889789759,168889.40050423722
2025-01-01 07:25:00,190427.6524923085,1.464828096094681,169269.02443760756
2025-01-01 07:30:00,189761.99971735015,1.4597076901334627,168677.33308208903
2025-01-01 07:35:00,190509.08114239183,1.465454470326091,169341.40545990385
2025-01-01 07:40:00,193751.22526743347,1.490394040518719,172223.31134882974
