Año,EV,PHEV,tL2,tL3,area,cpl1,cpl2,cpl3,S_refor,jobs
1,0,0,1.9,18.9,669.5,0.0,0.0,0.0,0.07,-0.0
2,1,1,1.0,24.0,930.5,1.0,1.0,1.0,0.07,1.0
3,4,11,1.0,17.1,930.6,1.0,5.0,1.0,0.07,13.0
4,8,23,3.7,16.0,932.8,2.0,5.0,1.0,0.07,15.0
5,16,47,10.6,17.6,944.2,3.0,5.0,1.0,0.07,18.0
6,24,71,3.9,16.9,2453.5,4.0,5.0,1.0,0.07,22.0
7,32,95,12.7,15.5,2510.7,6.0,5.0,1.0,0.07,26.0
8,48,145,16.8,20.6,5797.5,9.0,5.0,1.0,0.07,33.0
9,57,170,16.2,17.9,5937.2,10.0,5.0,1.0,0.07,36.0
10,66,197,1.1,21.0,6319.0,12.0,45.0,1.0,0.08,141.0
11,83,248,1.0,21.7,9703.1,16.0,67.0,1.0,0.08,204.0
12,100,298,21.7,24.0,9727.5,19.0,67.0,1.0,0.08,212.0
13,201,304,1.6,22.4,15053.4,24.0,67.0,2.0,0.08,226.0
14,305,306,1.4,22.2,22856.2,30.0,87.0,2.0,0.1,290.0
15,375,310,1.0,23.9,22916.4,35.0,143.0,2.0,0.09,441.0
16,552,312,4.1,21.4,25051.6,45.0,143.0,3.0,0.09,469.0
17,731,316,1.7,20.5,32603.2,56.0,143.0,4.0,0.09,495.0
18,913,320,1.0,23.3,38805.3,66.0,277.0,4.0,0.1,857.0
19,1096,326,3.1,20.5,46477.2,77.0,277.0,5.0,0.1,884.0
20,1284,330,24.0,22.3,50816.0,88.0,277.0,6.0,0.11,911.0
21,1476,334,1.0,23.0,55945.9,99.0,415.0,6.0,0.12,1281.0
22,1706,339,10.2,24.0,68935.6,111.0,415.0,7.0,0.12,1314.0
23,1943,342,1.0,22.0,77703.7,125.0,531.0,8.0,0.13,1639.0
24,2180,349,1.0,23.6,86302.8,139.0,557.0,9.0,0.14,1738.0
25,2459,356,1.1,13.9,93026.8,155.0,582.0,16.0,0.14,1841.0
26,2667,363,1.0,17.8,98117.7,167.0,686.0,16.0,0.15,2130.0
27,2879,370,1.4,16.8,99019.4,180.0,686.0,16.0,0.17,2162.0
28,3115,378,1.6,20.4,99429.4,193.0,686.0,16.0,0.21,2196.0
29,3466,385,2.7,22.4,99932.3,213.0,686.0,16.0,0.27,2247.0
30,3707,393,1.0,23.2,99971.3,228.0,945.0,16.0,0.32,2930.0
31,4023,401,1.1,20.5,99997.1,248.0,964.0,18.0,0.39,3027.0
