ASCII Name;Population;LABEL EN;Classification
Bucarasica;783;Colombia;Small City
Chima;786;Colombia;Small City
Sativanorte;792;Colombia;Small City
Paime;799;Colombia;Small City
Surata;806;Colombia;Small City
Albania;810;Colombia;Small City
Coper;814;Colombia;Small City
Jesus Maria;823;Colombia;Small City
Sutatenza;827;Colombia;Small City
Soraca;827;Colombia;Small City
Toguei;829;Colombia;Small City
Paramo;843;Colombia;Small City
San Joaquin;844;Colombia;Small City
Carcasi;862;Colombia;Small City
Nuevo Colon;863;Colombia;Small City
Jerico;865;Colombia;Small City
Chipata;868;Colombia;Small City
Ocamonte;883;Colombia;Small City
La Jagua del Pilar;894;Colombia;Small City
Tausa;895;Colombia;Small City
Labranzagrande;902;Colombia;Small City
Mutiscua;918;Colombia;Small City
Tibirita;920;Colombia;Small City
San Sebastian;931;Colombia;Small City
San Jose de Pare;941;Colombia;Small City
Pamplonita;941;Colombia;Small City
Guavata;943;Colombia;Small City
Chameza;948;Colombia;Small City
Pachavita;959;Colombia;Small City
Ubaque;1009;Colombia;Small City
Coromoro;1010;Colombia;Small City
El Dorado;1011;Colombia;Small City
Topaga;1014;Colombia;Small City
San Antonio del Tequendama;1020;Colombia;Small City
Tibacuy;1028;Colombia;Small City
Somondoco;1029;Colombia;Small City
Santiago;1032;Colombia;Small City
Combita;1034;Colombia;Small City
Tipacoque;1036;Colombia;Small City
Zetaquira;1047;Colombia;Small City
Guayabal de Siquima;1051;Colombia;Small City
Campo Alegre;1052;Colombia;Small City
Santa Sofia;1058;Colombia;Small City
Sucre;1095;Colombia;Small City
San Jose de Miranda;1096;Colombia;Small City
Topaipi;1099;Colombia;Small City
Granada;1100;Colombia;Small City
Chaguani;1108;Colombia;Small City
Chinavita;1113;Colombia;Small City
Elias;1117;Colombia;Small City
Galan;1122;Colombia;Small City
Floresta;1127;Colombia;Small City
La Paz;1135;Colombia;Small City
Guataqui;1139;Colombia;Small City
Cabuyaro;1140;Colombia;Small City
Maripi;1143;Colombia;Small City
Cienega;1172;Colombia;Small City
Barranca de Upia;1177;Colombia;Small City
Tres Esquinas;1181;Colombia;Small City
Puerto Bogota;1200;Colombia;Small City
Jenesano;1200;Colombia;Small City
Molagavita;1205;Colombia;Small City
Susacon;1207;Colombia;Small City
Vetas;1210;Colombia;Small City
Narino;1213;Colombia;Small City
La Playa;1215;Colombia;Small City
Frias;1215;Colombia;Small City
Paez;1220;Colombia;Small City
Florian;1227;Colombia;Small City
Suarez;1243;Colombia;Small City
Santa Cruz del Islote;1247;Colombia;Small City
Marulanda;1256;Colombia;Small City
Pajarito;1258;Colombia;Small City
Abriaqui;1281;Colombia;Small City
Nunchia;1282;Colombia;Small City
Umbita;1295;Colombia;Small City
Silos;1300;Colombia;Small City
Venecia;1307;Colombia;Small City
Los Santos;1310;Colombia;Small City
Tenza;1312;Colombia;Small City
El Espino;1313;Colombia;Small City
Sutatausa;1332;Colombia;Small City
Pandi;1336;Colombia;Small City
Genova;1348;Colombia;Small City
Sotaquira;1352;Colombia;Small City
Chiscas;1356;Colombia;Small City
Santa Rosalia;1363;Colombia;Small City
Quetame;1374;Colombia;Small City
Saboya;1375;Colombia;Small City
Siachoque;1375;Colombia;Small City
La Capilla;1375;Colombia;Small City
Belmira;1388;Colombia;Small City
Paispamba;1390;Colombia;Small City
Onzaga;1393;Colombia;Small City
Bellavista;1396;Colombia;Small City
Cabrera;1397;Colombia;Small City
Manta;1410;Colombia;Small City
Cacota;1415;Colombia;Small City
Cucaita;1417;Colombia;Small City
Sabanalarga;1419;Colombia;Small City
San Cayetano;1430;Colombia;Small City
Sutamarchan;1432;Colombia;Small City
Puerto Parra;1448;Colombia;Small City
Santa Genoveva de Docordo;1448;Colombia;Small City
Fosca;1451;Colombia;Small City
Marmato;1456;Colombia;Small City
Giraldo;1464;Colombia;Small City
Cubara;1466;Colombia;Small City
Florencia;1467;Colombia;Small City
Zipacon;1480;Colombia;Small City
Valle de San Juan;1486;Colombia;Small City
Cerinza;1499;Colombia;Small City
Junin;1499;Colombia;Small City
Lourdes;1500;Colombia;Small City
Concepcion;1513;Colombia;Small City
Cartago;1524;Colombia;Small City
Castilla La Nueva;1543;Colombia;Small City
Corrales;1561;Colombia;Small City
Arcabuco;1564;Colombia;Small City
Viani;1586;Colombia;Small City
Contadero;1603;Colombia;Small City
Susa;1608;Colombia;Small City
San Fernando;1615;Colombia;Small City
Caicedo;1617;Colombia;Small City
Chivor;1622;Colombia;Small City
San Mateo;1634;Colombia;Small City
Guaca;1637;Colombia;Small City
Tuta;1639;Colombia;Small City
Herran;1648;Colombia;Small City
La Belleza;1649;Colombia;Small City
Gachala;1661;Colombia;Small City
La Pena;1667;Colombia;Small City
Matanza;1669;Colombia;Small City
Ventaquemada;1680;Colombia;Small City
Paicol;1681;Colombia;Small City
Alban;1684;Colombia;Small City
Gameza;1690;Colombia;Small City
Cucunuba;1699;Colombia;Small City
La Uvita;1708;Colombia;Small City
Betulia;1716;Colombia;Small City
San Jose;1724;Colombia;Small City
Guadalupe;1734;Colombia;Small City
Imues;1736;Colombia;Small City
Arboleda;1736;Colombia;Small City
Macheta;1742;Colombia;Small City
San Jose;1772;Colombia;Small City
Sachica;1774;Colombia;Small City
Capurgana;1787;Colombia;Small City
Piedrancha;1788;Colombia;Small City
