ASCII Name;Population;LABEL EN;Classification
La Victoria;11064;Colombia;Small City
Pijino del Carmen;11071;Colombia;Small City
Garagoa;11102;Colombia;Small City
Oporapa;11111;Colombia;Small City
Majagual;11139;Colombia;Small City
Junin;11158;Colombia;Small City
Cumaral;11263;Colombia;Small City
San Vicente de Chucuri;11265;Colombia;Small City
Pelaya;11306;Colombia;Small City
Venadillo;11310;Colombia;Small City
Santa Rosa de Viterbo;11329;Colombia;Small City
El Retorno;11340;Colombia;Small City
Municipio Hato Corozal;11431;Colombia;Small City
San Pedro;11489;Colombia;Small City
Valdivia;11511;Colombia;Small City
San Carlos de Guaroa;11512;Colombia;Small City
Curiti;11653;Colombia;Small City
Armero-Guyabal;11720;Colombia;Small City
Trinidad;11734;Colombia;Small City
Santuario;11787;Colombia;Small City
Distraccion;11934;Colombia;Small City
El Carmen;12001;Colombia;Small City
El Bordo;12072;Colombia;Small City
Marquetalia;12146;Colombia;Small City
Amaga;12170;Colombia;Small City
Unguia;12192;Colombia;Small City
Anolaima;12204;Colombia;Small City
Pital;12246;Colombia;Small City
Dagua;12320;Colombia;Small City
Ansermanuevo;12332;Colombia;Small City
Santo Domingo;12394;Colombia;Small City
Bugalagrande;12418;Colombia;Small City
Viterbo;12432;Colombia;Small City
Gamarra;12444;Colombia;Small City
El Tambo;12457;Colombia;Small City
San Rafael;12578;Colombia;Small City
Puente Nacional;12586;Colombia;Small City
Viota;12589;Colombia;Small City
Mutata;12607;Colombia;Small City
Santa Barbara;12743;Colombia;Small City
Villanueva;12791;Colombia;Small City
El Playon;12966;Colombia;Small City
San Jeronimo;13158;Colombia;Small City
Pacora;13214;Colombia;Small City
La Paz;13249;Colombia;Small City
Ovejas;13284;Colombia;Small City
Mani;13291;Colombia;Small City
Ataco;13470;Colombia;Small City
Montecristo;13470;Colombia;Small City
Chima;13492;Colombia;Small City
Paipa;13554;Colombia;Small City
Palestina;13560;Colombia;Small City
Tibu;13565;Colombia;Small City
Canasgordas;13595;Colombia;Small City
Tocaima;13649;Colombia;Small City
Toro;13764;Colombia;Small City
Istmina;13788;Colombia;Small City
Clemencia;13821;Colombia;Small City
Guapi;13853;Colombia;Small City
Guamal;13857;Colombia;Small City
Santa Ana;13950;Colombia;Small City
Santa Catalina;14039;Colombia;Small City
Donmatias;14208;Colombia;Small City
Guarne;14270;Colombia;Small City
Los Palmitos;14385;Colombia;Small City
Rio de Oro;14408;Colombia;Small City
Pueblo Rico;14429;Colombia;Small City
San Carlos;14480;Colombia;Small City
Chicoral;14686;Colombia;Small City
Purisima de la Concepcion;14705;Colombia;Small City
Cocorna;14743;Colombia;Small City
Mercaderes;14824;Colombia;Small City
Monterrey;14828;Colombia;Small City
Canalete;14831;Colombia;Small City
La Gloria;14989;Colombia;Small City
Puerto Salgar;15019;Colombia;Small City
La Union;15061;Colombia;Small City
Betulia;15097;Colombia;Small City
Simiti;15353;Colombia;Small City
Marsella;15455;Colombia;Small City
Candelaria;15631;Colombia;Small City
Aguazul;15669;Colombia;Small City
Santa Lucia;15760;Colombia;Small City
Darien;15763;Colombia;Small City
Salgar;15782;Colombia;Small City
Guadalupe;15913;Colombia;Small City
Concordia;16095;Colombia;Small City
Tarqui;16108;Colombia;Small City
Cotorra;16215;Colombia;Small City
Momil;16264;Colombia;Small City
Puerto Santander;16275;Colombia;Small City
Andes;16419;Colombia;Small City
Pupiales;16431;Colombia;Small City
San Estanislao;16518;Colombia;Small City
Manzanares;16532;Colombia;Small City
San Lorenzo;16653;Colombia;Small City
Puerto Lopez;16678;Colombia;Small City
Pacho;16698;Colombia;Small City
Pailitas;16800;Colombia;Small City
Tado;17000;Colombia;Small City
Lerida;17197;Colombia;Small City
Puerto Triunfo;17231;Colombia;Small City
Nueva Granada;17470;Colombia;Small City
Yondo;17597;Colombia;Small City
Abejorral;17599;Colombia;Small City
Restrepo;17610;Colombia;Small City
Cienaga de Oro;17623;Colombia;Small City
El Carmen de Chucuri;17638;Colombia;Small City
Fresno;17668;Colombia;Small City
Santuario;17722;Colombia;Small City
El Doncello;17775;Colombia;Small City
Tiquisio;17939;Colombia;Small City
San Vicente;18051;Colombia;Small City
Salamina;18076;Colombia;Small City
Andalucia;18132;Colombia;Small City
San Benito Abad;18181;Colombia;Small City
Chivolo;18208;Colombia;Small City
Santa Rosa;18375;Colombia;Small City
Astrea;18434;Colombia;Small City
San Diego;18531;Colombia;Small City
Pizarro;18561;Colombia;Small City
Morales;18678;Colombia;Small City
Villanueva;18699;Colombia;Small City
Villa Rica;18761;Colombia;Small City
Fredonia;18790;Colombia;Small City
Juan de Acosta;18828;Colombia;Small City
Urrao;18846;Colombia;Small City
Balboa;18910;Colombia;Small City
Riosucio;18950;Colombia;Small City
Rioblanco;19090;Colombia;Small City
Manati;19233;Colombia;Small City
La Plata;19275;Colombia;Small City
Padua;19311;Colombia;Small City
El Reten;19345;Colombia;Small City
Velez;19376;Colombia;Small City
Polonuevo;19454;Colombia;Small City
Guacari;19637;Colombia;Small City
Suarez;19690;Colombia;Small City
Galapa;19732;Colombia;Small City
Malaga;19884;Colombia;Small City
Buesaco;19951;Colombia;Small City
Chaparral;19982;Colombia;Small City
San Juan de Uraba;19992;Colombia;Small City
Tolu Viejo;20033;Colombia;Small City
Puerto Leguizamo;20045;Colombia;Small City
Frontino;20156;Colombia;Small City
Nueva Granada;20239;Colombia;Small City
Barbosa;20372;Colombia;Small City
Rovira;20452;Colombia;Small City
San Martin;20452;Colombia;Small City
Becerril;20477;Colombia;Small City
Villa de San Diego de Ubate;20485;Colombia;Small City
Neira;20495;Colombia;Small City
Silvania;20581;Colombia;Small City
Carepa;20627;Colombia;Small City
Villeta;20689;Colombia;Small City
Retiro;20700;Colombia;Small City
Aguadas;20712;Colombia;Small City
La Union;20769;Colombia;Small City
Moniquira;20848;Colombia;Small City
Puerto Carreno;20936;Colombia;Small City
Sampues;21204;Colombia;Small City
La Jagua de Ibirico;21386;Colombia;Small City
Belen de Umbria;21450;Colombia;Small City
Planadas;21557;Colombia;Small City
Timbiqui;21618;Colombia;Small City
Tauramena;21709;Colombia;Small City
San Martin;22281;Colombia;Small City
Yarumal;22368;Colombia;Small City
Natagaima;22455;Colombia;Small City
Campoalegre;22568;Colombia;Small City
Dabeiba;22717;Colombia;Small City
Campo de la Cruz;22810;Colombia;Small City
Rivera;22877;Colombia;Small City
Sibate;23208;Colombia;Small City
Sucre;23210;Colombia;Small City
Santa Fe de Antioquia;23216;Colombia;Small City
Pinillos;23349;Colombia;Small City
Ciudad Bolivar;23361;Colombia;Small City
Maria la Baja;23401;Colombia;Small City
Ponedera;23420;Colombia;Small City
San Carlos;23532;Colombia;Small City
San Jacinto;23576;Colombia;Small City
Ituango;23784;Colombia;Small City
Candelaria;23989;Colombia;Small City
Cumaribo;23990;Colombia;Small City
Nechi;24066;Colombia;Small City
Zaragoza;24067;Colombia;Small City
Isnos;24593;Colombia;Small City
Cajica;24999;Colombia;Small City
Guamal;25312;Colombia;Small City
Repelon;25467;Colombia;Small City
Anaime;25715;Colombia;Small City
La Virginia;25900;Colombia;Small City
Melgar;25980;Colombia;Small City
El Zulia;26019;Colombia;Small City
Mahates;26075;Colombia;Small City
Puerto Colombia;26227;Colombia;Small City
Tierralta;26242;Colombia;Small City
Ariguani;26246;Colombia;Small City
Supia;26571;Colombia;Small City
La Mesa;26699;Colombia;Small City
Albania;26940;Colombia;Small City
Mosquera;27005;Colombia;Small City
Chiriguana;27006;Colombia;Small City
Palmar de Varela;27098;Colombia;Small City
La Tebaida;27098;Colombia;Small City
Circasia;27135;Colombia;Small City
Puerto Boyaca;27310;Colombia;Small City
Santiago de Tolu;27390;Colombia;Small City
Roldanillo;27561;Colombia;Small City
Luruaco;27647;Colombia;Small City
Sabana de Torres;27845;Colombia;Small City
Honda;28158;Colombia;Small City
El Copey;28550;Colombia;Small City
El Charco;28673;Colombia;Small City
Santo Tomas;28693;Colombia;Small City
Zarzal;28761;Colombia;Small City
Tame;29099;Colombia;Small City
Flandes;29296;Colombia;Small City
Garzon;29451;Colombia;Small City
Purificacion;29539;Colombia;Small City
Morales;29737;Colombia;Small City
Puerto Asis;29782;Colombia;Small City
Mitu;29850;Colombia;Small City
Socorro;29997;Colombia;Small City
Chimichagua;30289;Colombia;Small City
Guamo;30516;Colombia;Small City
San Pedro de Uraba;30527;Colombia;Small City
San Luis de Since;30768;Colombia;Small City
Mompos;30861;Colombia;Small City
Puerto Wilches;31698;Colombia;Small City
Villanueva;31727;Colombia;Small City
Fonseca;32220;Colombia;Small City
Granada;32365;Colombia;Small City
Caicedonia;32417;Colombia;Small City
San Onofre;32957;Colombia;Small City
Pivijay;33047;Colombia;Small City
Anserma;33146;Colombia;Small City
San Sebastian de Mariquita;33340;Colombia;Small City
Sitionuevo;33440;Colombia;Small City
Sonson;33598;Colombia;Small City
Puebloviejo;33720;Colombia;Small City
Puerto Rico;33765;Colombia;Small City
Corinto;33846;Colombia;Small City
Quinchia;34069;Colombia;Small City
San Juan Nepomuceno;34110;Colombia;Small City
San Antero;34196;Colombia;Small City
Curumani;34838;Colombia;Small City
Sabanagrande;35044;Colombia;Small City
Villamaria;35302;Colombia;Small City
Quimbaya;35350;Colombia;Small City
Gigante;36055;Colombia;Small City
La Ceja;36584;Colombia;Small City
Belalcazar;36977;Colombia;Small City
San Pablo;37160;Colombia;Small City
Payande;37496;Colombia;Small City
Bosconia;37676;Colombia;Small City
Patia;37781;Colombia;Small City
Santa Rosa de Osos;37864;Colombia;Small City
Barrancas;38232;Colombia;Small City
El Cerrito;38390;Colombia;Small City
Libano;39459;Colombia;Small City
Corozal;39800;Colombia;Small City
Segovia;39938;Colombia;Small City
Tuquerres;40038;Colombia;Small City
San Juan del Cesar;40069;Colombia;Small City
Bosconia;40562;Colombia;Small City
Lorica;40605;Colombia;Small City
Acacias;40627;Colombia;Small City
La Union;41013;Colombia;Small City
Guaduas;41838;Colombia;Small City
Aracataca;41872;Colombia;Small City
Montenegro;41996;Colombia;Small City
Miranda;43333;Colombia;Small City
Sevilla;43738;Colombia;Small City
Piendamo;44000;Colombia;Small City
Pradera;44630;Colombia;Small City
Jamundi;44833;Colombia;Small City
Chiquinquira;45294;Colombia;Small City
San Gil;46152;Colombia;Small City
Puerto Tejada;46215;Colombia;Small City
Florida;47173;Colombia;Small City
El Carmen de Bolivar;47957;Colombia;Small City
Leticia;48144;Colombia;Small City
Plato;48606;Colombia;Small City
Samaniego;49085;Colombia;Small City
Copacabana;49169;Colombia;Small City
La Estrella;49386;Colombia;Small City
Carmen de Viboral;49642;Colombia;Small City
Arjona;50405;Colombia;Medium City
Turbo;50508;Colombia;Medium City
Chinu;50743;Colombia;Medium City
Cimitarra;50892;Colombia;Medium City
Puerto Berrio;51079;Colombia;Medium City
El Bagre;51150;Colombia;Medium City
Agustin Codazzi;51478;Colombia;Medium City
San Jose del Guaviare;52815;Colombia;Medium City
Pamplona;53587;Colombia;Medium City
Barbosa;53943;Colombia;Medium City
Funza;54421;Colombia;Medium City
El Banco;54522;Colombia;Medium City
Ayapel;56082;Colombia;Medium City
Turbaco;56171;Colombia;Medium City
Espinal;56213;Colombia;Medium City
Mocoa;56398;Colombia;Medium City
Marinilla;57403;Colombia;Medium City
Orito;57774;Colombia;Medium City
Santa Rosa de Cabal;57928;Colombia;Medium City
Caucasia;58034;Colombia;Medium City
San Andres;58257;Colombia;Medium City
Los Patios;58661;Colombia;Medium City
Fundacion;59175;Colombia;Medium City
Sahagun;59188;Colombia;Medium City
San Marcos;60735;Colombia;Medium City
Chia;64569;Colombia;Medium City
Villa del Rosario;64951;Colombia;Medium City
Baranoa;68383;Colombia;Medium City
Chinchina;68512;Colombia;Medium City
Planeta Rica;69708;Colombia;Medium City
Yumbo;71436;Colombia;Medium City
Ipiales;77729;Colombia;Medium City
Calarca;79569;Colombia;Medium City
La Dorada;81950;Colombia;Medium City
Caldas;82234;Colombia;Medium City
Sabaneta;82375;Colombia;Medium City
Madrid;85090;Colombia;Medium City
Arauca;85585;Colombia;Medium City
Chigorodo;86239;Colombia;Medium City
Apartado;86438;Colombia;Medium City
Tumaco;86713;Colombia;Medium City
Cienaga;88311;Colombia;Medium City
Fusagasuga;88820;Colombia;Medium City
Montelibano;90450;Colombia;Medium City
Duitama;92040;Colombia;Medium City
Cerete;94935;Colombia;Medium City
Aguachica;97525;Colombia;Medium City
Santander de Quilichao;99354;Colombia;Medium City
Ocana;101158;Colombia;Medium City
Sabanalarga;102334;Colombia;Medium City
Girardot City;107324;Colombia;Medium City
Giron;108466;Colombia;Medium City
Sogamoso;111336;Colombia;Medium City
Guadalajara de Buga;114316;Colombia;Medium City
Magangue;123982;Colombia;Medium City
Rionegro;128153;Colombia;Medium City
Malambo;129148;Colombia;Medium City
Quibdo;129237;Colombia;Medium City
Zipaquira;130432;Colombia;Medium City
Cartago;134972;Colombia;Medium City
Pitalito;135711;Colombia;Medium City
Facatativa;141762;Colombia;Medium City
Envigado;163007;Colombia;Medium City
Piedecuesta;163362;Colombia;Medium City
Maicao;166603;Colombia;Medium City
Florencia;168346;Colombia;Medium City
Yopal;168433;Colombia;Medium City
Tunja;172548;Colombia;Medium City
Riohacha;188014;Colombia;Medium City
Barrancabermeja;191403;Colombia;Medium City
Dosquebradas;206693;Colombia;Medium City
Tulua;221684;Colombia;Medium City
Buenaventura;240387;Colombia;Medium City
Floridablanca;267591;Colombia;Medium City
Sincelejo;277773;Colombia;Medium City
Itaguei;281853;Colombia;Medium City
Armenia;304314;Colombia;Medium City
Palmira;312519;Colombia;Medium City
Soacha;313945;Colombia;Medium City
Popayan;318059;Colombia;Medium City
Villavicencio;321717;Colombia;Medium City
Soledad;342556;Colombia;Medium City
Neiva;357392;Colombia;Medium City
Pasto;392930;Colombia;Medium City
Bello;392939;Colombia;Medium City
Buenaventura;432385;Colombia;Medium City
Manizales;434403;Colombia;Medium City
Pereira;467269;Colombia;Medium City
Valledupar;490075;Colombia;Medium City
Monteria;490935;Colombia;Medium City
Santa Marta;499192;Colombia;Medium City
Ibague;529635;Colombia;Medium City
Bucaramanga;581130;Colombia;Medium City
Cucuta;777106;Colombia;Medium City
Cartagena;914552;Colombia;Medium City
Barranquilla;1206319;Colombia;Big City
Medellin;1999979;Colombia;Big City
Cali;2392877;Colombia;Big City
Bogota;7674366;Colombia;Big City
