Alternative,Availability Factor,Driving Range,Accumulated Cost,Incentives,Emissions,Sum
ICE,0.071,0.035,0.005,0.0,0.009,0.12
EVL1,0.026,0.032,0.015,0.015,0.002,0.09
EVL2,0.067,0.032,0.015,0.015,0.002,0.131
EVL3,0.07,0.032,0.015,0.015,0.002,0.134
CNG,0.063,0.027,0.06,0.01,0.009,0.169
PHEVL1,0.064,0.034,0.008,0.004,0.004,0.11400000000000002
PHEVL2,0.07,0.034,0.008,0.004,0.004,0.12000000000000002
PHEVL3,0.071,0.034,0.008,0.004,0.004,0.121
