Alternative,Availability Factor,Driving Range,Accumulated Cost,Incentives,Emissions,Sum
ICE,0.028,0.027,0.008,0.0,0.008,0.07100000000000001
EVL1,0.01,0.025,0.023,0.039,0.029,0.126
EVL2,0.027,0.025,0.023,0.039,0.029,0.14300000000000002
EVL3,0.028,0.025,0.022,0.039,0.029,0.14300000000000002
CNG,0.025,0.021,0.087,0.039,0.015,0.187
PHEVL1,0.026,0.026,0.012,0.015,0.03,0.109
PHEVL2,0.028,0.026,0.012,0.015,0.03,0.111
PHEVL3,0.028,0.026,0.012,0.015,0.03,0.111
