,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.03,6500.03,75000.03,800.0,6500.0,75000.0
1,2026,1,1,1,9,5,1,2,2,2,2,2,2,0,0.1,28.25,5,800,6500,75000,806.0,6506.0,75006.0,800.0,6500.0,75000.0
2,2027,1,1,1,77,36,8,11,11,10,15,15,15,0,0.1,28.25,5,800,6500,75000,884.0,6584.0,75084.0,810.0,6510.0,75010.0
3,2028,3,1,1,77,89,24,32,26,29,11,31,31,0,0.1,28.25,5,861,6500,75000,1101.0,6740.0,75240.0,897.0,6536.0,75036.0
4,2029,6,2,1,98,92,54,82,54,64,11,32,63,0,0.2,28.25,5,945,6727,75000,1482.0,7264.0,75538.0,1036.0,6818.0,75091.0
5,2030,12,4,1,97,84,91,160,98,108,8,24,95,0,0.4,28.25,5,1098,7140,75000,2083.0,8126.0,75987.0,1308.0,7350.0,75210.0
6,2031,19,6,2,100,87,75,262,152,179,7,22,64,0,0.6000000000000001,28.5,10,1291,7588,77585,2959.0,9257.0,79254.0,1708.0,8005.0,78002.0
7,2032,30,8,3,100,100,80,415,234,288,7,25,65,0,0.8,28.75,15,1577,8010,80015,4270.0,10704.0,82709.0,2342.0,8775.0,80780.0
8,2033,43,12,4,100,96,86,595,335,409,6,19,57,0,1.2000000000000002,29.0,20,1894,8802,82298,5738.0,12647.0,86143.0,3062.0,9970.0,83466.0
9,2034,59,16,5,99,97,91,807,454,543,5,17,53,0,1.6,29.25,25,2261,9546,84444,7371.0,14658.0,89556.0,3882.0,11167.0,86065.0
10,2035,78,21,6,100,98,99,1075,602,712,5,16,56,0,2.1,29.5,30,2875,14790,96544,9513.0,21430.0,103184.0,5059.0,16974.0,98728.0
11,2036,101,27,8,100,98,97,1393,773,929,4,15,50,0,2.7,30.0,40,3340,15776,100335,11733.0,24170.0,108729.0,6182.0,18617.0,103176.0
12,2037,130,34,11,100,100,92,1799,990,1204,4,15,46,0,3.4000000000000004,30.75,55,3892,16857,105679,14572.0,27538.0,116360.0,7603.0,20568.0,109390.0
13,2038,166,43,13,100,100,99,2289,1257,1529,4,15,47,0,4.3,31.25,65,4535,18163,109028,17991.0,31620.0,122484.0,9308.0,22936.0,113800.0
14,2039,205,54,16,100,99,99,2838,1565,1885,4,13,43,0,5.4,32.0,80,5190,19664,113749,21659.0,36134.0,130218.0,11118.0,25591.0,119675.0
15,2040,255,67,20,100,99,98,3535,1944,2340,4,13,44,0,6.7,33.0,100,5979,21331,119665,26256.0,41608.0,139941.0,13370.0,28720.0,127053.0
16,2041,316,83,24,100,100,100,4378,2419,2873,4,13,44,0,8.3,34.0,120,6884,23259,125225,31694.0,48069.0,150034.0,16016.0,32389.0,134354.0
17,2042,388,102,30,100,100,98,5366,2970,3519,4,13,42,0,10.200000000000001,35.5,150,7888,25410,133063,37881.0,55403.0,163055.0,19008.0,36529.0,144180.0
18,2043,469,124,36,100,100,99,6500,3613,4260,4,12,40,0,12.4,37.0,180,8949,27751,140430,44701.0,63503.0,176180.0,22275.0,41076.0,153752.0
19,2044,561,149,43,100,100,100,7773,4340,5126,3,11,38,0,14.9,38.75,215,10082,30251,148507,52099.0,72269.0,190522.0,25805.0,45974.0,164226.0
20,2045,664,176,51,100,100,100,9204,5155,6091,3,11,36,0,17.6,40.75,255,11870,45477,200560,60589.0,94197.0,249277.0,30155.0,63762.0,218841.0
21,2046,781,207,61,100,100,99,10825,6053,7204,3,10,34,0,20.700000000000003,43.25,305,13142,48216,210752,69094.0,104168.0,266702.0,34189.0,69262.0,231795.0
22,2047,912,241,71,100,100,100,12631,7051,8461,3,10,33,0,24.1,45.75,355,14481,51039,220331,78125.0,114683.0,283973.0,38462.0,75019.0,244308.0
23,2048,1056,278,83,100,100,100,14630,8145,9864,3,10,31,0,27.8,48.75,415,15864,53926,231135,87578.0,125640.0,302847.0,42922.0,80983.0,258188.0
24,2049,1216,321,96,100,100,100,16853,9381,11409,3,9,30,0,32.1,52.0,480,17309,57080,242135,97545.0,137316.0,322369.0,47613.0,87383.0,272434.0
25,2050,1389,366,110,100,100,100,19244,10700,13085,3,9,28,0,36.6,55.5,550,18777,60182,253269,107635.0,149040.0,342125.0,52368.0,93772.0,286855.0
26,2051,1574,414,125,100,100,100,21813,12115,14877,3,8,26,0,41.400000000000006,59.25,625,21803,66560,276267,128465.0,173223.0,382927.0,62188.0,106945.0,316647.0
27,2052,1773,466,141,100,100,100,24569,13643,16801,2,8,25,0,46.6,63.25,705,24948,73236,299968,150094.0,198383.0,425112.0,72392.0,120680.0,347407.0
28,2053,1993,523,158,100,100,100,27626,15321,18907,2,8,25,0,52.300000000000004,67.5,790,28307,80307,324299,173248.0,225249.0,469238.0,83309.0,135308.0,379295.0
29,2054,2229,584,177,100,100,100,30901,17104,21126,2,8,24,0,58.400000000000006,72.25,885,31788,87618,350573,197029.0,252859.0,515811.0,94548.0,150377.0,413327.0
30,2055,2485,650,197,100,100,100,34438,19027,23516,2,7,23,0,65.0,77.25,985,37261,133472,510899,223661.0,319872.0,697296.0,108112.0,204321.0,581744.0
