,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1,1,1,9,6,2,10,10,8,2,2,2,0,0.1,28.25,5,800,6500,75000,1085.0,6785.0,75285.0,907.0,6607.0,75107.0
2,2027,1,1,1,77,48,10,15,14,11,15,15,15,0,0.1,28.25,5,800,6500,75000,2869.0,8569.0,77069.0,1581.0,7281.0,75781.0
3,2028,3,2,1,77,59,29,30,23,23,11,16,31,0,0.2,28.25,5,861,6748,75000,6286.0,12173.0,80425.0,2911.0,8797.0,77050.0
4,2029,6,3,1,98,81,64,51,31,33,11,21,63,0,0.30000000000000004,28.25,5,945,6975,75000,12646.0,18676.0,86702.0,5372.0,11400.0,79427.0
5,2030,12,5,2,97,89,55,100,57,56,8,19,48,0,0.5,28.5,10,1098,7388,77383,21503.0,27794.0,97789.0,8824.0,15113.0,85109.0
6,2031,19,7,2,100,99,90,122,66,69,7,19,64,0,0.7000000000000001,28.5,10,1291,7836,77383,34421.0,40967.0,110514.0,13847.0,20391.0,89939.0
7,2032,30,11,3,100,97,96,193,102,111,7,18,65,0,1.1,28.75,15,1577,8679,79813,53013.0,60116.0,131250.0,21093.0,28194.0,99329.0
8,2033,43,16,5,100,96,82,277,146,158,6,15,46,0,1.6,29.25,25,1894,9669,84379,73638.0,81414.0,156124.0,29134.0,36908.0,111620.0
9,2034,59,21,6,99,99,91,376,197,210,5,13,44,0,2.1,29.5,30,2261,10599,86525,96159.0,104499.0,180425.0,37930.0,46267.0,122195.0
10,2035,78,28,8,100,98,90,500,262,275,5,12,42,0,2.8000000000000003,30.0,40,2875,17940,110724,123047.0,138114.0,230899.0,48543.0,63607.0,156393.0
11,2036,101,36,10,100,98,93,648,336,359,4,12,40,0,3.6,30.5,50,3340,19255,114515,153364.0,169280.0,264542.0,60376.0,76289.0,171552.0
12,2037,130,45,13,100,100,93,837,430,465,4,12,39,0,4.5,31.25,65,3892,20645,119859,191825.0,208579.0,307796.0,75377.0,92129.0,191346.0
13,2038,166,58,16,100,99,96,1065,546,590,4,11,39,0,5.800000000000001,32.0,80,4535,22532,124882,237374.0,255371.0,357725.0,93148.0,111144.0,213497.0
14,2039,205,72,19,100,99,100,1320,680,727,4,10,37,0,7.2,32.75,95,5190,24442,129603,286260.0,305512.0,410677.0,112206.0,131456.0,236620.0
15,2040,255,89,24,100,100,98,1644,845,903,4,10,36,0,8.9,34.0,120,5979,26621,136997,346837.0,367479.0,477860.0,135860.0,156500.0,266879.0
16,2041,316,111,29,100,100,100,2036,1051,1108,4,10,37,0,11.100000000000001,35.25,145,6884,29271,143947,417805.0,440193.0,554873.0,163600.0,185986.0,300664.0
17,2042,388,136,36,100,100,98,2496,1290,1357,4,10,35,0,13.600000000000001,37.0,180,7888,32102,153091,498107.0,522322.0,643315.0,195021.0,219234.0,340226.0
18,2043,469,165,43,100,100,100,3023,1570,1643,4,9,34,0,16.5,38.75,215,8949,35188,161685,586599.0,612839.0,739340.0,229660.0,255898.0,382398.0
19,2044,561,198,52,100,100,99,3615,1886,1977,3,9,32,0,19.8,41.0,260,10082,38488,172070,682536.0,710944.0,844529.0,267214.0,295619.0,429204.0
20,2045,664,235,61,100,100,100,4280,2240,2348,3,8,30,0,23.5,43.25,305,11870,59353,230629,785909.0,833394.0,1004673.0,308012.0,355494.0,526774.0
21,2046,781,276,73,100,100,99,5034,2630,2778,3,8,29,0,27.6,46.25,365,13142,62975,242860,896920.0,946755.0,1126643.0,351391.0,401222.0,581111.0
22,2047,912,321,85,100,100,100,5874,3063,3262,3,8,27,0,32.1,49.25,425,14481,66711,254355,1015380.0,1067613.0,1255259.0,397593.0,449821.0,637469.0
23,2048,1056,371,99,100,100,100,6803,3539,3803,3,7,26,0,37.1,52.75,495,15864,70613,266959,1140589.0,1195341.0,1391689.0,446301.0,501047.0,697398.0
24,2049,1216,427,115,100,100,100,7837,4075,4399,3,7,25,0,42.7,56.75,575,17309,74720,280497,1274444.0,1331859.0,1537638.0,498160.0,555568.0,761351.0
25,2050,1389,487,131,100,100,100,11932,6198,6727,3,7,24,0,48.7,60.75,655,18777,78856,293221,1412003.0,1472086.0,1686453.0,551281.0,611356.0,825728.0
26,2051,1574,552,149,100,100,100,13524,7017,7648,3,6,22,0,55.2,65.25,745,21803,87493,320818,1701274.0,1766968.0,2000295.0,662561.0,728248.0,961580.0
27,2052,1773,621,169,100,100,100,15234,7902,8637,2,6,21,0,62.1,70.25,845,24948,96352,350444,2007637.0,2079045.0,2333140.0,779932.0,851333.0,1105433.0
28,2053,1993,698,190,100,100,100,17129,8874,9720,2,6,21,0,69.8,75.5,950,28307,105903,380500,2344222.0,2421823.0,2696422.0,930342.0,1007935.0,1282539.0
29,2054,2229,779,212,100,100,100,19160,9906,10860,2,6,20,0,77.9,81.0,1060,31788,115611,410922,2697665.0,2781492.0,3076805.0,1117589.0,1201408.0,1496727.0
30,2055,2485,866,236,100,100,100,21353,11020,12089,2,6,19,0,86.60000000000001,87.0,1180,37261,176054,603313,3078990.0,3217787.0,3645047.0,1355359.0,1494149.0,1921415.0
