,L1,L2,L3
0,0,0,0
1,1,1,1
2,15,15,15
3,11,16,31
4,11,21,63
5,8,19,95
6,7,19,64
7,7,18,97
8,6,15,76
9,5,13,66
10,5,13,66
11,4,12,67
12,4,12,64
13,4,11,62
14,4,10,58
15,4,10,58
16,4,10,56
17,4,10,54
18,4,9,53
19,3,9,49
20,3,8,47
21,3,8,45
22,3,8,44
23,3,7,41
24,3,7,40
25,3,7,37
26,3,6,35
27,2,6,33
28,2,6,33
29,2,6,31
30,2,6,30
