,L1,L2,L3
0,0,0,0
1,1,1,1
2,15,15,15
3,11,16,31
4,11,16,32
5,8,14,32
6,7,12,32
7,7,13,33
8,6,10,29
9,5,9,24
10,5,9,24
11,4,8,23
12,4,8,22
13,4,8,22
14,4,7,20
15,4,7,20
16,4,7,20
17,4,7,19
18,4,6,18
19,3,6,17
20,3,6,16
21,3,5,16
22,3,5,15
23,3,5,14
24,3,5,14
25,3,5,13
26,3,4,12
27,2,4,12
28,2,4,11
29,2,4,11
30,2,4,11
