,L1,L2,L3
0,0,0,0
1,1,1,1
2,15,15,15
3,11,31,31
4,11,32,63
5,8,32,95
6,7,32,64
7,7,33,97
8,6,29,76
9,5,24,66
10,5,24,66
11,4,23,67
12,4,22,64
13,4,22,62
14,4,20,58
15,4,20,58
16,4,20,56
17,4,19,54
18,4,18,53
19,3,17,49
20,3,16,47
21,3,15,45
22,3,15,44
23,3,14,41
24,3,14,40
25,3,13,37
26,3,12,35
27,2,12,33
28,2,12,33
29,2,11,31
30,2,11,30
