,L1,L2,L3
0,0,0,0
1,1,1,1
2,15,15,15
3,11,16,31
4,11,16,63
5,8,14,48
6,7,12,43
7,7,13,49
8,6,10,38
9,5,9,38
10,5,9,33
11,4,8,34
12,4,8,32
13,4,8,31
14,4,7,29
15,4,7,29
16,4,7,29
17,4,7,28
18,4,6,27
19,3,6,25
20,3,6,24
21,3,5,23
22,3,5,22
23,3,5,21
24,3,5,20
25,3,5,19
26,3,4,18
27,2,4,17
28,2,4,17
29,2,4,16
30,2,4,15
