,L1,L2,L3
0,0,0,0
1,1,1,1
2,15,15,15
3,11,16,31
4,11,21,63
5,8,19,48
6,7,19,43
7,7,18,49
8,6,15,38
9,5,13,38
10,5,13,33
11,4,12,34
12,4,12,32
13,4,11,31
14,4,10,29
15,4,10,29
16,4,10,29
17,4,10,28
18,4,9,27
19,3,9,25
20,3,8,24
21,3,8,23
22,3,8,22
23,3,7,21
24,3,7,20
25,3,7,19
26,3,6,18
27,2,6,17
28,2,6,17
29,2,6,16
30,2,6,15
