Hora,P_base [kW],P_VE [kW],P_DER [kW],P_carga [kW]
2025-01-01 00:00:00,67760.00000000001,27.1632,0.0,67787.16320000001
2025-01-01 00:05:00,67155.00000000001,26.974567,0.0,67181.97456700001
2025-01-01 00:10:00,66550.00000000001,26.785933,0.0,66576.78593300002
2025-01-01 00:15:00,65945.00000000001,26.5973,0.0,65971.59730000001
2025-01-01 00:20:00,65340.000000000015,26.408667,0.0,65366.40866700002
2025-01-01 00:25:00,64735.000000000015,26.220033,0.0,64761.22003300001
2025-01-01 00:30:00,64130.000000000015,26.0314,0.0,64156.031400000014
2025-01-01 00:35:00,63525.00000000001,25.842767,0.0,63550.84276700001
2025-01-01 00:40:00,62920.00000000001,25.654133,0.0,62945.654133000004
2025-01-01 00:45:00,62315.00000000001,25.4655,0.0,62340.465500000006
2025-01-01 00:50:00,61710.00000000001,25.276867,0.0,61735.27686700001
2025-01-01 00:55:00,61105.00000000001,25.088233,0.0,61130.08823300001
2025-01-01 01:00:00,60500.00000000001,24.8996,0.0,60524.899600000004
2025-01-01 01:05:00,60399.16666666667,23.956433,0.0,60423.12309966667
2025-01-01 01:10:00,60298.33333333334,23.013267,0.0,60321.346600333345
2025-01-01 01:15:00,60197.50000000001,22.0701,0.0,60219.570100000004
2025-01-01 01:20:00,60096.66666666667,21.126933,0.0,60117.79359966667
2025-01-01 01:25:00,59995.83333333334,20.183767,0.0,60016.017100333345
2025-01-01 01:30:00,59895.00000000001,19.2406,0.0,59914.240600000005
2025-01-01 01:35:00,59794.16666666667,18.297433,0.0,59812.46409966667
2025-01-01 01:40:00,59693.33333333334,17.354267,0.0,59710.687600333345
2025-01-01 01:45:00,59592.50000000001,16.4111,0.0,59608.911100000005
2025-01-01 01:50:00,59491.66666666667,15.467933,0.0,59507.13459966667
2025-01-01 01:55:00,59390.83333333334,14.524767,0.0,59405.358100333346
2025-01-01 02:00:00,59290.00000000001,13.5816,0.0,59303.581600000005
2025-01-01 02:05:00,59189.16666666667,13.0157,0.0,59202.182366666675
2025-01-01 02:10:00,59088.33333333334,12.4498,0.0,59100.783133333345
2025-01-01 02:15:00,58987.50000000001,11.8839,0.0,58999.38390000001
2025-01-01 02:20:00,58886.66666666667,11.318,0.0,58897.98466666667
2025-01-01 02:25:00,58785.83333333334,10.7521,0.0,58796.58543333334
2025-01-01 02:30:00,58685.00000000001,10.1862,0.0,58695.186200000004
2025-01-01 02:35:00,58584.16666666667,9.6203,0.0,58593.786966666674
2025-01-01 02:40:00,58483.33333333334,9.0544,0.0,58492.387733333344
2025-01-01 02:45:00,58382.50000000001,8.4885,0.0,58390.98850000001
2025-01-01 02:50:00,58281.66666666667,7.9226,0.0,58289.58926666667
2025-01-01 02:55:00,58180.83333333334,7.3567,0.0,58188.19003333334
2025-01-01 03:00:00,58080.00000000001,6.7908,0.0,58086.79080000001
2025-01-01 03:05:00,58584.16666666667,6.2249,0.0,58590.39156666667
2025-01-01 03:10:00,59088.33333333334,5.659,0.0,59093.99233333334
2025-01-01 03:15:00,59592.50000000001,5.0931,0.0,59597.593100000006
2025-01-01 03:20:00,60096.66666666667,4.5272,0.0,60101.19386666667
2025-01-01 03:25:00,60600.83333333334,3.9613,0.0,60604.794633333346
2025-01-01 03:30:00,61105.00000000001,3.3954,0.0,61108.39540000001
2025-01-01 03:35:00,61609.16666666667,2.8295,0.0,61611.99616666667
2025-01-01 03:40:00,62113.333333333336,2.2636,0.0,62115.596933333334
2025-01-01 03:45:00,62617.500000000015,1.6977,0.0,62619.19770000001
2025-01-01 03:50:00,63121.66666666668,1.1318,0.0,63122.79846666668
2025-01-01 03:55:00,63625.83333333334,0.5659,0.0,63626.399233333344
2025-01-01 04:00:00,64130.000000000015,0.0,0.0,64130.000000000015
2025-01-01 04:05:00,65541.66666666669,3.2067667,0.0,65544.87343336668
2025-01-01 04:10:00,66953.33333333334,6.4135333,0.0,66959.74686663334
2025-01-01 04:15:00,68365.00000000001,9.6203,0.0,68374.62030000001
2025-01-01 04:20:00,69776.66666666667,12.827067,0.0,69789.49373366668
2025-01-01 04:25:00,71188.33333333334,16.033833,0.0,71204.36716633334
2025-01-01 04:30:00,72600.00000000001,19.2406,0.0,72619.24060000002
2025-01-01 04:35:00,74011.66666666667,22.447367,0.0,74034.11403366667
2025-01-01 04:40:00,75423.33333333336,25.654133,0.0,75448.98746633336
2025-01-01 04:45:00,76835.00000000001,28.8609,0.0,76863.86090000001
2025-01-01 04:50:00,78246.66666666669,32.067667,0.0,78278.73433366668
2025-01-01 04:55:00,79658.33333333334,35.274433,0.0,79693.60776633334
2025-01-01 05:00:00,81070.00000000001,38.4812,0.0,81108.48120000001
2025-01-01 05:05:00,81473.33333333334,37.160767,0.0,81510.49410033334
2025-01-01 05:10:00,81876.66666666669,35.840333,0.0,81912.50699966669
2025-01-01 05:15:00,82280.00000000001,34.5199,0.0,82314.51990000001
2025-01-01 05:20:00,82683.33333333334,33.199467,0.0,82716.53280033334
2025-01-01 05:25:00,83086.66666666667,31.879033,0.0,83118.54569966668
2025-01-01 05:30:00,83490.0,30.5586,0.0,83520.5586
2025-01-01 05:35:00,83893.33333333334,29.238167,0.0,83922.57150033335
2025-01-01 05:40:00,84296.66666666667,27.917733,0.0,84324.58439966667
2025-01-01 05:45:00,84700.0,26.5973,0.79283957,84725.80446043
2025-01-01 05:50:00,85103.33333333334,25.276867,12.78154,85115.82866033334
2025-01-01 05:55:00,85506.66666666667,23.956433,24.170513,85506.45258666667
2025-01-01 06:00:00,85910.0,22.636,76.804469,85855.831531
2025-01-01 06:05:00,85910.0,29.049533,383.42985,85555.619683
2025-01-01 06:10:00,85910.0,35.463067,334.98422,85610.478847
2025-01-01 06:15:00,85910.0,41.8766,558.66933,85393.20727
2025-01-01 06:20:00,85910.0,48.290133,452.74764,85505.542493
2025-01-01 06:25:00,85910.0,54.703667,507.22445,85457.479217
2025-01-01 06:30:00,85910.0,61.1172,498.50457,85472.61262999999
2025-01-01 06:35:00,85910.0,67.530733,389.07694,85588.45379300001
2025-01-01 06:40:00,85910.0,73.944267,592.60089,85391.343377
2025-01-01 06:45:00,85910.0,80.3578,2216.9924,83773.3654
2025-01-01 06:50:00,85910.0,86.771333,2205.3059,83791.46543299999
2025-01-01 06:55:00,85910.0,93.184867,2180.462,83822.722867
2025-01-01 07:00:00,85910.0,99.5984,3575.8074,82433.791
2025-01-01 07:05:00,86414.16666666667,104.1256,3709.5068,82808.78546666667
2025-01-01 07:10:00,86918.33333333334,108.6528,3524.8937,83502.09243333334
2025-01-01 07:15:00,87422.5,113.18,3765.896,83769.784
2025-01-01 07:20:00,87926.66666666669,117.7072,1281.995,86762.3788666667
2025-01-01 07:25:00,88430.83333333334,122.2344,2193.0474,86360.02033333335
2025-01-01 07:30:00,88935.00000000001,126.7616,4426.3028,84635.45880000001
2025-01-01 07:35:00,89439.16666666667,131.2888,4950.1498,84620.30566666667
2025-01-01 07:40:00,89943.33333333334,135.816,2454.9709,87624.17843333335
2025-01-01 07:45:00,90447.50000000001,140.3432,2522.1476,88065.69560000002
2025-01-01 07:50:00,90951.66666666669,144.8704,1438.0867,89658.45036666669
2025-01-01 07:55:00,91455.83333333334,149.3976,3156.7298,88448.50113333334
2025-01-01 08:00:00,91960.00000000001,153.9248,1594.7504,90519.1744
2025-01-01 08:05:00,92363.33333333334,156.94293,1925.7302,90594.54606333334
2025-01-01 08:10:00,92766.66666666669,159.96107,2441.8952,90484.73253666669
2025-01-01 08:15:00,93170.00000000001,162.9792,2317.6756,91015.30360000001
2025-01-01 08:20:00,93573.33333333334,165.99733,2646.9392,91092.39146333335
2025-01-01 08:25:00,93976.66666666669,169.01547,2204.7339,91940.94823666668
2025-01-01 08:30:00,94380.00000000001,172.0336,2146.1382,92405.89540000001
2025-01-01 08:35:00,94783.33333333334,175.05173,2920.4674,92037.91766333336
2025-01-01 08:40:00,95186.66666666669,178.06987,3811.1708,91553.5657366667
2025-01-01 08:45:00,95590.00000000001,181.088,3173.7282,92597.35980000002
2025-01-01 08:50:00,95993.33333333334,184.10613,3237.7177,92939.72176333335
2025-01-01 08:55:00,96396.66666666669,187.12427,3240.578,93343.21293666669
2025-01-01 09:00:00,96800.00000000001,190.1424,2470.907,94519.2354
2025-01-01 09:05:00,97001.66666666669,191.8401,4642.5429,92550.96386666669
2025-01-01 09:10:00,97203.33333333334,193.5378,3453.2223,93943.64883333335
2025-01-01 09:15:00,97405.00000000001,195.2355,4132.9975,93467.23800000001
2025-01-01 09:20:00,97606.66666666667,196.9332,4243.5693,93560.03056666667
