,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1,1,1,9,3,1,10,10,8,2,2,2,0,0.1,28.25,5,800,6500,75000,1085.0,6785.0,75285.0,907.0,6607.0,75107.0
2,2027,1,1,1,77,24,6,15,14,11,15,15,15,0,0.1,28.25,5,800,6500,75000,2869.0,8569.0,77069.0,1581.0,7281.0,75781.0
3,2028,3,1,1,77,59,18,30,23,23,11,31,31,0,0.1,28.25,5,861,6500,75000,6286.0,11925.0,80425.0,2911.0,8550.0,77050.0
4,2029,6,2,1,98,61,40,51,31,33,11,32,63,0,0.2,28.25,5,945,6727,75000,12652.0,18433.0,86707.0,5372.0,11153.0,79427.0
5,2030,12,3,1,97,75,68,75,43,42,8,32,95,0,0.30000000000000004,28.25,5,1098,6934,75000,21523.0,27358.0,95425.0,8831.0,14666.0,82734.0
6,2031,19,4,2,100,87,56,122,66,69,7,32,64,0,0.4,28.5,10,1291,7158,77585,34459.0,40325.0,110752.0,13865.0,19731.0,90159.0
7,2032,30,6,2,100,89,90,193,102,111,7,33,97,0,0.6000000000000001,28.5,10,1577,7580,77585,53073.0,59075.0,129081.0,21121.0,27123.0,97130.0
8,2033,43,8,3,100,96,86,277,146,158,6,29,76,0,0.8,28.75,15,1894,7976,79868,73720.0,79801.0,151694.0,29171.0,35252.0,107146.0
9,2034,59,11,4,99,94,85,376,197,210,5,24,66,0,1.1,29.0,20,2261,8534,82014,96268.0,102541.0,176021.0,37977.0,44250.0,117732.0
10,2035,78,14,5,100,98,90,500,262,275,5,24,67,0,1.4000000000000001,29.25,25,2875,11680,94114,123228.0,132034.0,214468.0,48621.0,57427.0,139862.0
11,2036,101,18,6,100,98,97,648,336,359,4,23,67,0,1.8,29.5,30,3340,12338,96010,153641.0,162639.0,246312.0,60497.0,69495.0,153168.0
12,2037,130,23,8,100,98,95,837,430,465,4,22,64,0,2.3000000000000003,30.0,40,3892,13110,99573,192201.0,201420.0,287883.0,75541.0,84760.0,171224.0
13,2038,166,29,10,100,99,96,1065,546,590,4,22,62,0,2.9000000000000004,30.5,50,4535,13981,102922,237866.0,247312.0,336253.0,93363.0,102809.0,191751.0
14,2039,205,36,12,100,99,99,1320,680,727,4,20,58,0,3.6,31.0,60,5190,14936,106069,287124.0,296870.0,388004.0,112586.0,122332.0,213466.0
15,2040,255,45,15,100,99,98,1644,845,903,4,20,58,0,4.5,31.75,75,5979,16090,110506,348097.0,358208.0,452625.0,136418.0,146529.0,240946.0
16,2041,316,56,18,100,99,100,2036,1051,1108,4,19,59,0,5.6000000000000005,32.5,90,6884,17415,114676,419629.0,430161.0,527422.0,164412.0,174944.0,272206.0
17,2042,388,68,23,100,100,96,2496,1290,1357,4,19,54,0,6.800000000000001,33.75,115,7888,18774,121208,500637.0,511525.0,613958.0,196143.0,207031.0,309465.0
18,2043,469,83,27,100,100,99,3023,1570,1643,4,18,53,0,8.3,34.75,135,8949,20370,126119,590279.0,601702.0,707450.0,231231.0,242655.0,348403.0
19,2044,561,99,33,100,100,98,3615,1886,1977,3,17,49,0,9.9,36.25,165,10082,21970,133042,687896.0,699787.0,810858.0,269398.0,281290.0,392361.0
20,2045,664,118,39,100,100,98,4280,2240,2348,3,16,47,0,11.8,37.75,195,11870,32685,172082,793293.0,814111.0,953507.0,310890.0,331709.0,471105.0
21,2046,781,138,46,100,100,98,5034,2630,2778,3,15,45,0,13.8,39.5,230,13142,34452,179217,907088.0,928401.0,1073164.0,355156.0,376470.0,521234.0
22,2047,912,161,53,100,100,100,5874,3063,3262,3,15,44,0,16.1,41.25,265,14481,36362,185923,1029771.0,1051655.0,1201214.0,402648.0,424533.0,574093.0
23,2048,1056,186,62,100,100,100,9071,4718,5071,3,14,41,0,18.6,43.5,310,15864,38313,194026,1161034.0,1183485.0,1339196.0,453149.0,475601.0,631313.0
24,2049,1216,214,72,100,100,100,10449,5433,5865,3,14,40,0,21.400000000000002,46.0,360,17309,40367,202488,1303356.0,1326416.0,1488535.0,507469.0,530531.0,692650.0
25,2050,1389,244,82,100,100,100,11932,6198,6727,3,13,37,0,24.400000000000002,48.5,410,18777,42435,210441,1451249.0,1474909.0,1642912.0,581143.0,604805.0,772809.0
26,2051,1574,276,94,100,100,99,13524,7017,7648,3,12,35,0,27.6,51.5,470,21803,46687,228839,1766439.0,1791325.0,1973474.0,770037.0,794926.0,977075.0
27,2052,1773,311,106,100,100,100,15234,7902,8637,2,12,33,0,31.1,54.5,530,24948,51181,246615,2104831.0,2131066.0,2326498.0,1003391.0,1029629.0,1225060.0
28,2053,1993,349,119,100,100,100,17129,8874,9720,2,12,33,0,34.9,57.75,595,28307,55895,265221,2484144.0,2511734.0,2721058.0,1302234.0,1329827.0,1539151.0
29,2054,2229,390,133,100,100,100,19160,9906,10860,2,11,31,0,39.0,61.25,665,31788,60809,284581,2889197.0,2918220.0,3141990.0,1640984.0,1670010.0,1893780.0
30,2055,2485,433,148,100,100,100,26691,13775,15111,2,11,30,0,43.300000000000004,65.0,740,37261,90683,404825,3336796.0,3390221.0,3704361.0,2034747.0,2088174.0,2402314.0
