,Year,L1,L2,L3,Utilization L1,Utilization L2,Utilization L3,Emission L1,Emission L2,Emission L3,EV/CP L1,EV/CP L2,EV/CP L3,Area L1,Area L2,Area L3,Jobs,DAC L1 case1,DAC L2 case1,DAC L3 case1,DAC L1 case2,DAC L2 case2,DAC L3 case2,DAC L1 case3,DAC L2 case3,DAC L3 case3
0,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0.1,28.25,5,800,6500,75000,800.0,6500.0,75000.0,800.0,6500.0,75000.0
1,2026,1,1,1,9,5,1,10,10,8,2,2,2,0,0.1,28.25,5,800,6500,75000,1085.0,6785.0,75285.0,907.0,6607.0,75107.0
2,2027,1,1,1,77,36,8,15,14,11,15,15,15,0,0.1,28.25,5,800,6500,75000,2869.0,8569.0,77069.0,1581.0,7281.0,75781.0
3,2028,3,1,1,77,89,24,30,23,23,11,31,31,0,0.1,28.25,5,861,6500,75000,6286.0,11925.0,80425.0,2911.0,8550.0,77050.0
4,2029,6,2,1,98,92,54,51,31,33,11,32,63,0,0.2,28.25,5,945,6727,75000,12652.0,18433.0,86707.0,5372.0,11153.0,79427.0
5,2030,12,4,1,97,84,91,75,43,42,8,24,95,0,0.4,28.25,5,1098,7140,75000,21523.0,27564.0,95425.0,8831.0,14873.0,82734.0
6,2031,19,6,2,100,87,75,122,66,69,7,22,64,0,0.6000000000000001,28.5,10,1291,7588,77585,34459.0,40755.0,110752.0,13865.0,20162.0,90159.0
7,2032,30,8,3,100,100,80,193,102,111,7,25,65,0,0.8,28.75,15,1577,8010,80015,53073.0,59505.0,131510.0,21121.0,27554.0,99559.0
8,2033,43,12,4,100,96,86,277,146,158,6,19,57,0,1.2000000000000002,29.0,20,1894,8802,82298,73720.0,80627.0,154123.0,29171.0,36079.0,109575.0
9,2034,59,16,5,99,97,91,376,197,210,5,17,53,0,1.6,29.25,25,2261,9546,84444,96268.0,103553.0,178450.0,37977.0,45263.0,120161.0
10,2035,78,21,6,100,98,99,500,262,275,5,16,56,0,2.1,29.5,30,2875,14790,96544,123228.0,135143.0,216897.0,48621.0,60537.0,142291.0
11,2036,101,27,8,100,98,97,648,336,359,4,15,50,0,2.7,30.0,40,3340,15776,100335,153641.0,166077.0,250636.0,60497.0,72933.0,157492.0
12,2037,130,34,11,100,100,92,837,430,465,4,15,46,0,3.4000000000000004,30.75,55,3892,16857,105679,192201.0,205166.0,293989.0,75541.0,88507.0,177329.0
13,2038,166,43,13,100,100,99,1065,546,590,4,15,47,0,4.3,31.25,65,4535,18163,109028,237866.0,251494.0,342359.0,93363.0,106992.0,197856.0
14,2039,205,54,16,100,99,99,1320,680,727,4,13,43,0,5.4,32.0,80,5190,19664,113749,287124.0,301598.0,395683.0,112586.0,127060.0,221145.0
15,2040,255,67,20,100,99,98,1644,845,903,4,13,44,0,6.7,33.0,100,5979,21331,119665,348097.0,363449.0,461783.0,136418.0,151769.0,250103.0
16,2041,316,83,24,100,100,100,2036,1051,1108,4,13,44,0,8.3,34.0,120,6884,23259,125225,419629.0,436004.0,537970.0,164412.0,180786.0,282753.0
17,2042,388,102,30,100,100,98,2496,1290,1357,4,13,42,0,10.200000000000001,35.5,150,7888,25410,133063,500637.0,518160.0,625813.0,196143.0,213665.0,321319.0
18,2043,469,124,36,100,100,99,3023,1570,1643,4,12,40,0,12.4,37.0,180,8949,27751,140430,590279.0,609082.0,721760.0,231231.0,250033.0,362713.0
19,2044,561,149,43,100,100,100,3615,1886,1977,3,11,38,0,14.9,38.75,215,10082,30251,148507,687896.0,708067.0,826321.0,269398.0,289568.0,407824.0
20,2045,664,176,51,100,100,100,4280,2240,2348,3,11,36,0,17.6,40.75,255,11870,45477,200560,793293.0,826902.0,981983.0,310890.0,344498.0,499581.0
21,2046,781,207,61,100,100,99,5034,2630,2778,3,10,34,0,20.700000000000003,43.25,305,13142,48216,210752,907088.0,942163.0,1104698.0,355156.0,390231.0,552767.0
22,2047,912,241,71,100,100,100,5874,3063,3262,3,10,33,0,24.1,45.75,355,14481,51039,220331,1029771.0,1066330.0,1235621.0,402648.0,439207.0,608500.0
23,2048,1056,278,83,100,100,100,9071,4718,5071,3,10,31,0,27.8,48.75,415,15864,53926,231135,1161034.0,1199097.0,1376304.0,453149.0,491212.0,668421.0
24,2049,1216,321,96,100,100,100,10449,5433,5865,3,9,30,0,32.1,52.0,480,17309,57080,242135,1303356.0,1343128.0,1528182.0,507469.0,547241.0,732297.0
25,2050,1389,366,110,100,100,100,11932,6198,6727,3,9,28,0,36.6,55.5,550,18777,60182,253269,1451249.0,1492655.0,1685740.0,581143.0,622549.0,815637.0
26,2051,1574,414,125,100,100,100,13524,7017,7648,3,8,26,0,41.400000000000006,59.25,625,21803,66560,276267,1766439.0,1811197.0,2020902.0,770037.0,814796.0,1024503.0
27,2052,1773,466,141,100,100,100,15234,7902,8637,2,8,25,0,46.6,63.25,705,24948,73236,299968,2104831.0,2153121.0,2379851.0,1003391.0,1051681.0,1278413.0
28,2053,1993,523,158,100,100,100,17129,8874,9720,2,8,25,0,52.300000000000004,67.5,790,28307,80307,324299,2484144.0,2536145.0,2780135.0,1302234.0,1354236.0,1598228.0
29,2054,2229,584,177,100,100,100,19160,9906,10860,2,8,24,0,58.400000000000006,72.25,885,31788,87618,350573,2889197.0,2945028.0,3207981.0,1640984.0,1696816.0,1959771.0
30,2055,2485,650,197,100,100,100,26691,13775,15111,2,7,23,0,65.0,77.25,985,37261,133472,510899,3336796.0,3433008.0,3810433.0,2034747.0,2130960.0,2508387.0
