Alternative,Availability Factor,Driving Range,Accumulated Cost,Incentives,Emissions,Sum
ICEV,0.028,0.027,0.008,0.0,0.003,0.066
EV-L1,0.011,0.024,0.028,0.035,0.039,0.137
EV-L2,0.027,0.024,0.028,0.035,0.039,0.153
EV-L3,0.028,0.024,0.026,0.035,0.039,0.152
NGV,0.025,0.022,0.077,0.017,0.006,0.14700000000000002
PHEV-L1,0.026,0.026,0.011,0.026,0.025,0.11399999999999999
PHEV-L2,0.028,0.026,0.011,0.026,0.025,0.11599999999999999
PHEV-L3,0.028,0.026,0.011,0.026,0.025,0.11599999999999999
