Alternative,Availability Factor,Driving Range,Accumulated Cost,Incentives,Emissions,Sum
ICE,0.07,0.035,0.006,0.0,0.0,0.11100000000000002
EVL1,0.028,0.032,0.015,0.013,0.005,0.093
EVL2,0.067,0.032,0.015,0.013,0.005,0.132
EVL3,0.069,0.032,0.015,0.013,0.005,0.134
CNG,0.063,0.028,0.059,0.003,0.001,0.154
PHEVL1,0.064,0.034,0.008,0.008,0.006,0.12000000000000002
PHEVL2,0.07,0.034,0.008,0.008,0.006,0.12600000000000003
PHEVL3,0.07,0.034,0.008,0.008,0.006,0.12600000000000003
