Alternative,Availability Factor,Driving Range,Accumulated Cost,Incentives,Emissions,Sum
ICEV,0.019,0.009,0.019,0.0,0.0,0.047
EV-L1,0.007,0.008,0.069,0.045,0.007,0.136
EV-L2,0.018,0.008,0.069,0.045,0.007,0.14700000000000002
EV-L3,0.019,0.008,0.066,0.045,0.007,0.14500000000000002
NGV,0.017,0.007,0.192,0.023,0.001,0.24
PHEV-L1,0.017,0.009,0.029,0.034,0.004,0.09300000000000001
PHEV-L2,0.019,0.009,0.029,0.034,0.004,0.095
PHEV-L3,0.019,0.009,0.029,0.034,0.004,0.095
