Alternative,Availability Factor,Driving Range,Accumulated Cost,Incentives,Emissions,Distance to Positive Ideal,Distance to Negative Ideal,Closeness Coefficient
ICEV,0.07030807929422099,0.034883282208322444,0.00507517465520403,0.00011969132598677572,0.00047314357033551436,0.048192890948432626,0.043356092745342155,0.4735835505325256
EV-L1,0.02742317169207324,0.03168511399467544,0.018566313767392432,0.011742076555298535,0.00680663015679641,0.05420557764435638,0.019164900749714362,0.2612072480539139
EV-L2,0.0673228409977708,0.03168511399467544,0.018566313767392432,0.011742076555298535,0.00680663015679641,0.033148979143126936,0.044263721391794734,0.571788880712499
EV-L3,0.06940748589771241,0.03168511399467544,0.01761814007627152,0.011742076555298535,0.00680663015679641,0.033962703222160065,0.04588345243193794,0.5746482351725225
NGV,0.06354770162368663,0.02850868589969544,0.05141466748286392,0.005921180415902573,0.0010135753981822897,0.012463956274442816,0.05904472542510241,0.8257000971320929
PHEV-L1,0.06417636246528356,0.0339280925648797,0.007703276941328855,0.008836855146564388,0.004304733194441361,0.04433193848704422,0.03844143527969934,0.4644178862157752
PHEV-L2,0.07021065854932355,0.0339280925648797,0.007703276941328855,0.008836855146564388,0.004304733194441361,0.043890124424782226,0.04424608396130317,0.5020193717374455
PHEV-L3,0.07042319525042535,0.0339280925648797,0.007703276941328855,0.008836855146564388,0.004304733194441361,0.04388960982024732,0.04445164721773714,0.503181058411067
