Alternative,Availability Factor,Driving Range,Accumulated Cost,Incentives,Emissions,Distance to Positive Ideal,Distance to Negative Ideal,Closeness Coefficient
ICEV,0.01878590927456647,0.009085397741954012,0.018994331169968893,0.00045955349681664487,0.00047314357033551436,0.17919093408315848,0.011578253796112313,0.06069247306037528
EV-L1,0.0073273117485161045,0.008252430531668815,0.06948622190603752,0.04508357056276896,0.00680663015679641,0.12347665473162968,0.0676870106819252,0.35407884932261663
EV-L2,0.01798827098942156,0.008252430531668815,0.06948622190603752,0.04508357056276896,0.00680663015679641,0.12294374814134144,0.06852143801024103,0.35787935857954245
EV-L3,0.0185452759645697,0.008252430531668815,0.06593759031809104,0.04508357056276896,0.00680663015679641,0.12648980080169714,0.06604250665709453,0.3430203872211412
NGV,0.016979575737150344,0.007425125564513936,0.1924243572902395,0.022734305455943463,0.0010135753981822897,0.023220261506311977,0.1751216628563845,0.8829281223275296
PHEV-L1,0.0171475502523592,0.008836617315334578,0.028830257726707356,0.03392900571520543,0.004304733194441361,0.16400171054513718,0.03646998979038951,0.18192088823185615
PHEV-L2,0.018759879018961773,0.008836617315334578,0.028830257726707356,0.03392900571520543,0.004304733194441361,0.1639932264881504,0.036936792841718386,0.1838291409362724
PHEV-L3,0.01881666758756575,0.008836617315334578,0.028830257726707356,0.03392900571520543,0.004304733194441361,0.1639932166556052,0.036954409326020315,0.18390070121753713
