Alternative,Availability Factor,Driving Range,Accumulated Cost,Incentives,Emissions,Sum
ICEV,0.036,0.018,0.003,0.0,0.007,0.064
EV-L1,0.014,0.016,0.009,0.006,0.098,0.14300000000000002
EV-L2,0.035,0.016,0.009,0.006,0.098,0.164
EV-L3,0.036,0.016,0.009,0.006,0.098,0.165
NGV,0.033,0.015,0.026,0.003,0.015,0.092
PHEV-L1,0.033,0.018,0.004,0.005,0.062,0.122
PHEV-L2,0.036,0.018,0.004,0.005,0.062,0.125
PHEV-L3,0.036,0.018,0.004,0.005,0.062,0.125
