Alternative,Availability Factor,Driving Range,Accumulated Cost,Incentives,Emissions,Sum
EVL2,0.026,0.021,0.029,0.033,0.026,0.135
EVL3,0.027,0.021,0.028,0.033,0.026,0.135
PHEVL2,0.027,0.029,0.012,0.027,0.04,0.135
PHEVL3,0.027,0.029,0.012,0.027,0.04,0.135
